Gene names,Alpha A30P_day_1, Alpha A53T_day_1, Control _day_1
GstE7,6.6618,4.4885,5.57515
mRpS9,0.448155,0.363455,0.405805
Tor,1.25025,1.0448,1.147525
mRpL40,0.703305,0.419455,0.56138
,2.27915,1.725,2.002075
,2.64875,1.14405,1.8964
CalpB,0.705385,0.54432,0.6248525
,4.61725,4.0047,4.310975
Hsp67Bc,0.48064,0.48251,0.481575
Obp83b,14.934,#DIV/0!,#DIV/0!
,5.3468,3.7468,4.5468
CG12896-RA,4.01325,3.37045,3.69185
,4.4363,8.05255,6.244425
MESR6,0.26352,4.4365,2.35001
,#DIV/0!,#DIV/0!,#DIV/0!
skpB,#DIV/0!,0.569025,#DIV/0!
Cp36,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spn88Eb,#DIV/0!,#DIV/0!,#DIV/0!
smid,0.3128,0.60358,0.45819
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,1.0418,#DIV/0!
CG13759-RA,#DIV/0!,0.57235,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.22977,0.18487,0.20732
Nc73EF,0.39776,0.44974,0.42375
Nup93-1,0.29977,0.41915,0.35946
CG31534-RB,0.43844,#DIV/0!,#DIV/0!
CG17544-RA,0.515995,0.29237,0.4041825
Cyp6a17,0.63487,0.27356,0.454215
sec8,0.304085,#DIV/0!,#DIV/0!
GluClalpha,0.27756,0.33266,0.30511
Ppat-Dpck,1.1858,0.24898,0.71739
CG1598,0.41063,0.5356,0.473115
Pak3,#DIV/0!,0.24155,#DIV/0!
ABCB7,#DIV/0!,0.445765,#DIV/0!
O-fut1,#DIV/0!,0.32506,#DIV/0!
sec24,0.63074,0.205065,0.4179025
CanA-14F,0.39016,0.63922,0.51469
,0.370225,#DIV/0!,#DIV/0!
zetaCOP,#DIV/0!,#DIV/0!,#DIV/0!
Cg25C,0.57751,0.5267,0.552105
CG30185;Gr59f,0.84864,#DIV/0!,#DIV/0!
RanGap,0.40077,0.51276,0.456765
Ac76E,#DIV/0!,#DIV/0!,#DIV/0!
TotM,#DIV/0!,#DIV/0!,#DIV/0!
CG11583,#DIV/0!,0.38988,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pi4KIIalpha,#DIV/0!,#DIV/0!,#DIV/0!
uif,0.21465,0.25023,0.23244
CG6136,#DIV/0!,#DIV/0!,#DIV/0!
CG4538-RA,0.385045,0.3726,0.3788225
CG42486-RA,0.84157,#DIV/0!,#DIV/0!
Jheh3,#DIV/0!,#DIV/0!,#DIV/0!
GS,0.39504,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RhoGAP100F,0.337195,0.64538,0.4912875
HtrA2,0.89396,1.3726,1.13328
,#DIV/0!,#DIV/0!,#DIV/0!
CG15187,0.383055,1.0163,0.6996775
,#DIV/0!,#DIV/0!,#DIV/0!
CG15617-RA,#DIV/0!,#DIV/0!,#DIV/0!
Moca-cyp,0.48782,0.56103,0.524425
Patronin;ssp4,1.5595,0.76826,1.16388
CG17837,#DIV/0!,#DIV/0!,#DIV/0!
Ras64B,0.46705,0.527175,0.4971125
AP-1mu,0.609465,0.53938,0.5744225
,0.720225,#DIV/0!,#DIV/0!
,0.95197,#DIV/0!,#DIV/0!
,1.05133,1.0855,1.068415
,#DIV/0!,1.5865,#DIV/0!
l(2)35Bg,0.50633,#DIV/0!,#DIV/0!
usnp,0.71423,0.86109,0.78766
aru,#DIV/0!,#DIV/0!,#DIV/0!
Dcp1,0.36166,0.57295,0.467305
TwdlBeta,#DIV/0!,0.95911,#DIV/0!
RIC-3,0.865595,0.81171,0.8386525
sgl,0.33235,0.933565,0.6329575
,13.681,#DIV/0!,#DIV/0!
Srp14,0.736315,0.68917,0.7127425
Rox8,0.48701,0.683145,0.5850775
,0.53356,#DIV/0!,#DIV/0!
slik,0.207397,0.44686,0.3271285
Gos28,#DIV/0!,#DIV/0!,#DIV/0!
PPP4R2r,0.71859,0.67614,0.697365
dally,0.931615,#DIV/0!,#DIV/0!
CG33506-RA,0.958435,0.880025,0.91923
nero,#DIV/0!,#DIV/0!,#DIV/0!
nrm,1.0549,#DIV/0!,#DIV/0!
,0.66984,1.6089,1.13937
Ccp84Ag,#DIV/0!,#DIV/0!,#DIV/0!
mRpL46,0.41806,0.69431,0.556185
,1.220675,0.79963,1.0101525
mRpL50,0.75197,0.75072,0.751345
,0.702615,0.73958,0.7210975
Obp57a,#DIV/0!,#DIV/0!,#DIV/0!
mrj,#DIV/0!,1.0498,#DIV/0!
CG5532,1.56835,1.8112,1.689775
,0.65659,0.79771,0.72715
,1.4216,1.5408,1.4812
,0.878995,#DIV/0!,#DIV/0!
atilla,#DIV/0!,1.2142,#DIV/0!
beat-VII,#DIV/0!,#DIV/0!,#DIV/0!
,1.0752,0.744895,0.9100475
l(3)neo43,#DIV/0!,2.656,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RpII215,2.01482,1.23374,1.62428
CG42487-RA,#DIV/0!,#DIV/0!,#DIV/0!
RpS29,0.88578,1.15652,1.02115
Rsf1,0.86666,#DIV/0!,#DIV/0!
Ect3,0.70157,0.55712,0.629345
,#DIV/0!,#DIV/0!,#DIV/0!
,0.972855,1.200145,1.0865
RnpS1,0.80724,1.04486,0.92605
mRpL28,1.1076,0.451415,0.7795075
CG10635,0.911595,0.856475,0.884035
Sh,#DIV/0!,1.7362,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG7280,1.1368,#DIV/0!,#DIV/0!
Prosbeta1,0.657425,0.48584,0.5716325
yrt,#DIV/0!,1.0123,#DIV/0!
CG34242-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nup75,#DIV/0!,#DIV/0!,#DIV/0!
spz,#DIV/0!,#DIV/0!,#DIV/0!
laccase2,#DIV/0!,0.35179,#DIV/0!
CG17508-RA,1.3145,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8245-RA,#DIV/0!,#DIV/0!,#DIV/0!
vlc,#DIV/0!,#DIV/0!,#DIV/0!
Hsepi,#DIV/0!,#DIV/0!,#DIV/0!
CG3270-RA,#DIV/0!,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!,#DIV/0!
Eb1,#DIV/0!,#DIV/0!,#DIV/0!
koi,#DIV/0!,0.59938,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG1383,#DIV/0!,#DIV/0!,#DIV/0!
cn,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8726-RB,0.20287,#DIV/0!,#DIV/0!
Asap1,#DIV/0!,#DIV/0!,#DIV/0!
Mal-A6,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8586-RA,0.36437,#DIV/0!,#DIV/0!
sec31,0.23675,0.383,0.309875
CG8243-RA,#DIV/0!,2.31147,#DIV/0!
,0.379415,0.19547,0.2874425
Ance-4,0.251935,0.553265,0.4026
Pmm45A,0.30053,0.346555,0.3235425
Su(var)2-10,#DIV/0!,#DIV/0!,#DIV/0!
Hydr1,#DIV/0!,#DIV/0!,#DIV/0!
alc,0.76319,#DIV/0!,#DIV/0!
Rme-8,0.29894,0.23826,0.2686
,#DIV/0!,#DIV/0!,#DIV/0!
Pkn,0.24552,0.35755,0.301535
GstT2,#DIV/0!,#DIV/0!,#DIV/0!
,1.1343,0.761215,0.9477575
,#DIV/0!,#DIV/0!,#DIV/0!
Ccs,#DIV/0!,#DIV/0!,#DIV/0!
CAP,#DIV/0!,0.48449,#DIV/0!
CG12895,#DIV/0!,#DIV/0!,#DIV/0!
nclb,#DIV/0!,#DIV/0!,#DIV/0!
CG18004-RB;CG18004-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.44115,#DIV/0!
,0.30236,0.27358,0.28797
rho-7,0.66897,0.77208,0.720525
Mppe,#DIV/0!,#DIV/0!,#DIV/0!
Prp8,0.44217,0.285735,0.3639525
RpS11,0.20993,0.16467,0.1873
garz,0.861795,1.7603,1.3110475
Cpr49Ag,#DIV/0!,#DIV/0!,#DIV/0!
Dyb,#DIV/0!,#DIV/0!,#DIV/0!
CG8545-RA,#DIV/0!,1.3672,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG4646,1.9905,1.1953,1.5929
CG4679,0.278985,0.295885,0.287435
CG10799-RA,#DIV/0!,#DIV/0!,#DIV/0!
mip120,0.47888,#DIV/0!,#DIV/0!
mRpL53,1.83315,1.659745,1.7464475
,#DIV/0!,#DIV/0!,#DIV/0!
Prosap,#DIV/0!,#DIV/0!,#DIV/0!
cg,#DIV/0!,#DIV/0!,#DIV/0!
BcDNA.GH03482;CG10249-RD,#DIV/0!,#DIV/0!,#DIV/0!
Khc-73,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-gamma,0.55496,0.2515,0.40323
CG8192-RA,0.58372,0.558565,0.5711425
,1.4961,0.90523,1.200665
Jhedup,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
clu,0.13556,0.273465,0.2045125
Sema-2b,#DIV/0!,#DIV/0!,#DIV/0!
Syn2,0.27473,0.48343,0.37908
CG8303,#DIV/0!,0.34392,#DIV/0!
Ehbp1,0.66363,1.0788,0.871215
RhoGEF2,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
l(2)k01209,#DIV/0!,#DIV/0!,#DIV/0!
CG4853-RA,#DIV/0!,#DIV/0!,#DIV/0!
Dcr-2,0.94366,0.22555,0.584605
,#DIV/0!,#DIV/0!,#DIV/0!
CG4975-RB;CG4984-RC,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Muc55B,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
GstE8,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpS28,#DIV/0!,#DIV/0!,#DIV/0!
,0.62716,0.92071,0.773935
CG15099,#DIV/0!,0.21351,#DIV/0!
CG15111-RB,#DIV/0!,#DIV/0!,#DIV/0!
hppy,0.55611,#DIV/0!,#DIV/0!
par-1,#DIV/0!,#DIV/0!,#DIV/0!
par-1,0.65104,0.55378,0.60241
par-1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,3.0522,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG17041,1.9605,#DIV/0!,#DIV/0!
CG4495,#DIV/0!,#DIV/0!,#DIV/0!
Galpha49B;Galphaq,#DIV/0!,#DIV/0!,#DIV/0!
Slob,#DIV/0!,#DIV/0!,#DIV/0!
CG6043-RH,0.382165,0.22739,0.3047775
Syx5,1.63455,1.53695,1.58575
,1.0298,#DIV/0!,#DIV/0!
orb2,0.2055,0.277515,0.2415075
bol,#DIV/0!,0.40768,#DIV/0!
Trl,#DIV/0!,#DIV/0!,#DIV/0!
Ama,#DIV/0!,#DIV/0!,#DIV/0!
Timp,#DIV/0!,#DIV/0!,#DIV/0!
CtBP,#DIV/0!,0.57476,#DIV/0!
Syp,0.23634,#DIV/0!,#DIV/0!
Rb97D,#DIV/0!,#DIV/0!,#DIV/0!
Hrb98DE,#DIV/0!,#DIV/0!,#DIV/0!
CG7816,#DIV/0!,#DIV/0!,#DIV/0!
CG3774;Efr,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Klp10A,0.35663,#DIV/0!,#DIV/0!
ari-1,#DIV/0!,#DIV/0!,#DIV/0!
car,#DIV/0!,#DIV/0!,#DIV/0!
CG10187,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Not1,0.67669,0.32239,0.49954
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG5544,0.38575,0.96911,0.67743
,0.46752,3.5177,1.99261
,#DIV/0!,0.7491,#DIV/0!
Vrp1,#DIV/0!,#DIV/0!,#DIV/0!
Cda5,#DIV/0!,0.39492,#DIV/0!
CG7337-RB;CG7337-RA,0.3779,0.33036,0.35413
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG34310-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Lar,7.5334,#DIV/0!,#DIV/0!
RtGEF,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG34039-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
enc,#DIV/0!,#DIV/0!,#DIV/0!
Cip4,0.38893,0.30552,0.347225
sif,#DIV/0!,#DIV/0!,#DIV/0!
Ect4,0.35635,#DIV/0!,#DIV/0!
GAPcenA,#DIV/0!,#DIV/0!,#DIV/0!
Argk,#DIV/0!,#DIV/0!,#DIV/0!
,0.83306,0.7447,0.78888
,#DIV/0!,#DIV/0!,#DIV/0!
CG12355-RA,#DIV/0!,#DIV/0!,#DIV/0!
l(3)72Do,1.5246,#DIV/0!,#DIV/0!
Abl,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Shal,#DIV/0!,#DIV/0!,#DIV/0!
Ten-m,#DIV/0!,#DIV/0!,#DIV/0!
ArfGAP3,0.513685,0.48426,0.4989725
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
pyd,#DIV/0!,0.24486,#DIV/0!
,1.204535,#DIV/0!,#DIV/0!
Dh44,#DIV/0!,#DIV/0!,#DIV/0!
Pnn,#DIV/0!,#DIV/0!,#DIV/0!
cu,#DIV/0!,#DIV/0!,#DIV/0!
NijC,#DIV/0!,#DIV/0!,#DIV/0!
,0.53138,#DIV/0!,#DIV/0!
btsz,#DIV/0!,#DIV/0!,#DIV/0!
,0.49259,#DIV/0!,#DIV/0!
Efa6,#DIV/0!,#DIV/0!,#DIV/0!
Pli,#DIV/0!,#DIV/0!,#DIV/0!
CG6422-RB,0.68305,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CHKov1,#DIV/0!,#DIV/0!,#DIV/0!
LpR1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
sda,#DIV/0!,#DIV/0!,#DIV/0!
woc,0.34179,0.61875,0.48027
Hayan,#DIV/0!,#DIV/0!,#DIV/0!
Sec16,#DIV/0!,0.56741,#DIV/0!
Rnp4F,0.63829,0.4905,0.564395
CG14445-RB,#DIV/0!,1.0172,#DIV/0!
,#DIV/0!,0.3428,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nup153,0.22348,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG40498-RF,0.96346,1.797,1.38023
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Gfat1,0.214725,0.28338,0.2490525
how,#DIV/0!,0.294555,#DIV/0!
Sfp87B,#DIV/0!,#DIV/0!,#DIV/0!
CG9801;CG9801-RA,#DIV/0!,#DIV/0!,#DIV/0!
CG8909-RB,#DIV/0!,#DIV/0!,#DIV/0!
metro,#DIV/0!,#DIV/0!,#DIV/0!
mbl,1.8785,#DIV/0!,#DIV/0!
Jabba,0.42064,0.71896,0.5698
tn,0.15329,0.232835,0.1930625
CG30387,#DIV/0!,#DIV/0!,#DIV/0!
Sdc,#DIV/0!,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!,#DIV/0!
St3,0.66065,#DIV/0!,#DIV/0!
Nurf-38,#DIV/0!,#DIV/0!,#DIV/0!
Fis1,#DIV/0!,#DIV/0!,#DIV/0!
CG8740-RB,#DIV/0!,0.88497,#DIV/0!
CG31869-RB,#DIV/0!,#DIV/0!,#DIV/0!
Su(dx),#DIV/0!,#DIV/0!,#DIV/0!
CG42371-RA,#DIV/0!,#DIV/0!,#DIV/0!
Rrp1,0.23587,1.1198,0.677835
kis,0.54226,0.51015,0.526205
drongo,0.70174,#DIV/0!,#DIV/0!
pgant4,#DIV/0!,#DIV/0!,#DIV/0!
fred,#DIV/0!,#DIV/0!,#DIV/0!
PDZ-GEF,#DIV/0!,0.91523,#DIV/0!
,#DIV/0!,0.37571,#DIV/0!
RhoGAP71E,#DIV/0!,#DIV/0!,#DIV/0!
Nedd4,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,0.821265,#DIV/0!
mus312-RD,1.3708,1.156,1.2634
,0.42456,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
nudE,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
cher,#DIV/0!,#DIV/0!,#DIV/0!
CG6364,#DIV/0!,#DIV/0!,#DIV/0!
Lerp,0.29932,#DIV/0!,#DIV/0!
spg,0.36738,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!,#DIV/0!
MTA1-like,#DIV/0!,0.67527,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pak,0.3153,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
rg,0.58477,0.462125,0.5234475
CG42323-RC,#DIV/0!,#DIV/0!,#DIV/0!
tlk,#DIV/0!,#DIV/0!,#DIV/0!
CG4928,#DIV/0!,#DIV/0!,#DIV/0!
nemy,#DIV/0!,#DIV/0!,#DIV/0!
Sclp,0.32578,0.284205,0.3049925
Sfp96F,#DIV/0!,#DIV/0!,#DIV/0!
Evi5;CG11727,#DIV/0!,0.32444,#DIV/0!
Eph,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!,#DIV/0!
ssh,#DIV/0!,#DIV/0!,#DIV/0!
stau,#DIV/0!,#DIV/0!,#DIV/0!
lolal,0.82541,0.62704,0.726225
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Tim10-RA,#DIV/0!,#DIV/0!,#DIV/0!
G-salpha60A;Galphas,#DIV/0!,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!,#DIV/0!
CSN4,0.5048,#DIV/0!,#DIV/0!
Mlf,#DIV/0!,#DIV/0!,#DIV/0!
Kr-h2,#DIV/0!,#DIV/0!,#DIV/0!
Piezo,0.767435,0.6346,0.7010175
GlcAT-S,#DIV/0!,#DIV/0!,#DIV/0!
yuri,#DIV/0!,#DIV/0!,#DIV/0!
Dif,#DIV/0!,#DIV/0!,#DIV/0!
CG14397-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG2131,#DIV/0!,#DIV/0!,#DIV/0!
galectin,#DIV/0!,#DIV/0!,#DIV/0!
E(bx),1.0193,0.52347,0.771385
CG7611,0.25271,#DIV/0!,#DIV/0!
Pop2,#DIV/0!,#DIV/0!,#DIV/0!
pHCl,0.38966,#DIV/0!,#DIV/0!
Dscam2,0.67283,0.62549,0.64916
Snmp2,#DIV/0!,#DIV/0!,#DIV/0!
syd,0.390335,0.41776,0.4040475
Zasp66,#DIV/0!,#DIV/0!,#DIV/0!
CG5021,#DIV/0!,#DIV/0!,#DIV/0!
TfIIEbeta,#DIV/0!,#DIV/0!,#DIV/0!
mp,#DIV/0!,7.0056,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
