Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.44142,NaN,0.6151,0.48146,0.50937,0.51438,NaN,0.99355
torp4a,0.53512,0.60481,NaN,0.90461,0.30641,0.40196,0.50465,0.70755
rogdi,NaN,NaN,0.61046,NaN,0.60044,NaN,NaN,NaN
CG12321-RA,0.35114,0.59118,0.89647,NaN,0.48525,0.39036,0.6783,0.47077
Drs;Drsl5,NaN,NaN,0.73728,NaN,3.3724,NaN,NaN,NaN
Psi,0.39893,0.27094,0.64794,NaN,0.32382,0.35894,0.45882,0.36963
Myo31DF,0.50412,0.23736,0.44332,0.26515,0.14925,0.29894,0.2731,0.19584
,1.0192,0.49162,0.68642,0.64222,NaN,NaN,0.72089,0.62867
bel,0.23131,0.30863,0.49561,0.55371,0.36329,0.23184,0.40879,0.25845
,0.75947,0.65368,0.84224,0.86177,0.71304,0.68507,0.60385,0.75768
eas,0.38044,0.45274,0.56751,0.32157,0.46065,0.5024,0.51728,0.53283
SelR,0.75164,NaN,0.64126,NaN,0.75834,NaN,0.65138,NaN
JhI-26,NaN,0.78567,0.54258,NaN,NaN,NaN,NaN,NaN
EG:100G10.7,0.69593,1.6434,0.75059,0.7934,0.97648,0.79325,0.77397,0.89947
Gtp-bp,0.27098,0.4059,0.86059,0.59142,0.35685,0.59654,0.38735,0.33818
,0.41893,0.43048,0.60014,0.70964,0.49721,0.76157,0.6626,0.5123
CG13601,NaN,1.2845,NaN,0.84023,NaN,NaN,NaN,NaN
Bap55,0.52962,0.59173,0.70187,NaN,0.45235,0.66362,0.53197,0.47466
wuho,0.33773,NaN,0.44616,NaN,NaN,NaN,NaN,NaN
bsk,0.70639,0.57625,0.76905,0.61463,0.5995,1.269,0.55039,0.59474
Rap2l,0.58662,0.48823,0.88484,0.76859,0.93337,NaN,0.53329,0.74448
CG10306,0.5796,0.38954,0.48246,0.92183,0.41854,NaN,0.38813,0.45042
Aats-gln,0.33791,0.3042,0.29243,0.28335,0.21358,0.75016,0.30447,0.18629
Dsk,NaN,3.3746,1.1297,NaN,NaN,NaN,NaN,NaN
,1.6548,0.16149,0.50819,NaN,0.34495,0.88068,0.23563,0.29611
,0.25827,0.41315,0.41669,0.30045,0.47108,0.46471,0.25126,0.2984
Sodh-2,0.53328,0.67486,0.67609,0.64236,0.66837,NaN,0.69647,0.53298
Pdcd4,0.39519,0.45017,0.54616,0.52939,0.58701,0.37604,0.34207,0.34304
anon-35F/36A,0.83236,0.7596,NaN,NaN,0.84185,0.66045,1.8467,NaN
svr,0.87514,0.76784,0.84307,0.79224,NaN,0.9147,NaN,1.0211
CG16912,0.91342,0.86165,1.0047,NaN,0.89673,NaN,NaN,0.56797
Mtl,NaN,0.66114,NaN,0.72641,NaN,0.64901,0.71207,0.63558
,0.6497,0.92751,0.93385,0.88948,0.70463,0.8863,0.7763,0.74006
Idgf1,NaN,1.2824,1.0116,1.2515,NaN,1.1291,0.98652,0.95657
twf,0.57649,0.43493,1.1554,0.65996,0.39734,0.4005,0.62731,0.50314
CkIIbeta,1.691,NaN,1.2206,0.96215,NaN,0.7267,0.70932,0.65272
,0.92396,0.79126,0.83136,0.92813,0.94433,0.70458,0.57601,3.2315
RanBP3,0.42109,0.38182,0.64536,NaN,0.41179,0.45394,0.30128,0.46642
CadN,0.70839,0.5752,1.2923,1.0313,0.7198,1.0437,0.61913,0.54565
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.47858,0.38779,0.45976,0.29658,0.60088,0.41644,0.60581,0.48342
Ucp4A,NaN,NaN,0.58016,0.83563,NaN,NaN,NaN,NaN
Rpd3,0.32684,0.85237,0.73158,NaN,0.43216,0.57326,0.35484,0.51583
UbcD4,0.37857,0.30836,0.63099,0.53263,0.5973,0.44489,0.35416,0.37144
CSN5,0.33383,0.3908,0.50693,0.51159,0.33199,0.35113,0.50046,0.61158
,1.5917,1.7997,0.70345,0.66614,1.4731,NaN,2.0788,1.5664
Rab8,0.94551,0.9835,1.012,0.97132,0.88141,1.0437,1.1229,0.87206
Gs1l,2.4149,2.1406,1.1553,0.97769,NaN,1.8588,1.9479,1.8918
RpL23,0.22831,0.25692,0.71933,0.68502,0.30466,0.30749,0.35004,0.38024
Irc,NaN,NaN,NaN,0.6238,NaN,NaN,NaN,NaN
,1.6153,1.6163,1.2511,1.6577,1.526,1.4777,1.6756,1.3307
Sac1,0.29725,0.30061,0.56654,0.36666,0.47036,NaN,0.49242,0.63353
Paf-AHalpha,0.55022,0.68035,0.87027,NaN,0.60595,0.43005,0.51189,0.53934
,1.9159,0.53682,0.78291,0.78105,0.84296,0.37113,0.49337,0.55782
GstD2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ppt1,0.73664,0.50208,1.0682,NaN,0.84194,0.71585,0.85341,NaN
Sgt1,0.61242,0.52273,0.74003,NaN,0.81607,NaN,0.63296,0.5552
Arpc3A,0.66055,NaN,0.92052,NaN,0.61466,0.61934,0.50254,0.5468
Cpr60D,NaN,6.0416,1.6114,2.467,NaN,NaN,NaN,NaN
parvin,0.69099,0.62914,1.0422,0.86744,0.97245,1.1694,NaN,0.60893
larp,1.0104,0.93864,0.71971,NaN,0.44758,0.65199,NaN,0.48167
Irp-1A,0.38092,0.43775,NaN,0.29189,0.2492,0.62345,0.18367,0.30671
,0.92304,NaN,1.0493,1.1021,NaN,NaN,0.90263,0.74626
Hmu,0.48146,0.57353,1.1311,0.67788,0.72019,0.53072,0.97736,0.60777
CG4603,0.50055,0.5695,0.59168,0.90211,0.58951,0.56077,1.1866,0.49667
,0.97634,1.2177,1.088,1.8184,0.90276,NaN,NaN,0.7467
scramb2,0.72515,NaN,NaN,0.88388,0.72034,0.5235,NaN,1.0073
Mgstl,1.2715,1.1981,1.289,1.0719,NaN,NaN,1.2161,1.0601
CG2061,0.27783,0.72695,NaN,NaN,NaN,NaN,NaN,0.44912
,0.869,0.92707,0.81821,0.84127,0.66248,1.738,0.92704,0.70656
mRpS7,0.44102,0.27426,0.48948,0.70581,0.60887,0.17761,0.35684,0.35929
inaF-B,1.069,1.1406,1.546,1.0333,NaN,1.422,1.1051,1.0742
CG3246-RA,0.80617,0.75922,0.89033,0.73855,0.8422,NaN,0.98579,0.99588
,1.8019,1.9302,1.3232,1.0881,1.3609,1.4716,1.4332,1.2978
CG30491;CG30495,0.66238,0.80778,0.73435,0.40284,0.57729,1.6371,NaN,NaN
,0.44366,0.51742,1.3082,0.96754,0.55871,NaN,0.61848,0.59338
nrv2,NaN,NaN,NaN,1.1953,NaN,NaN,1.6388,NaN
,NaN,0.76163,0.72151,0.98782,1.3677,NaN,0.44357,NaN
Nckx30C,0.93123,1.3144,1.2666,1.2015,1.4481,NaN,1.1404,1.1139
,2.5449,1.9513,2.4556,1.4731,NaN,NaN,1.8055,1.9044
,0.73733,0.75313,NaN,1.0556,0.62017,NaN,0.66568,0.63794
HP1b,1.0011,1.1308,1.4664,1.3837,1.3109,0.92575,1.0915,1.0699
Vps20,1.6968,1.8453,1.4463,1.3179,1.4723,NaN,1.2606,1.0983
,NaN,1.0772,1.1673,1.316,0.92701,NaN,0.82477,NaN
qsm,1.3685,1.6101,1.3626,1.9388,NaN,1.4494,1.2059,1.5179
Dg,0.58988,0.54785,1.0768,2.0242,1.7153,0.35209,0.51471,0.60903
PDCD-5,0.69193,0.70619,1.1037,1.0191,0.65648,0.93077,0.65942,0.72357
LSm-4-RB,0.83527,0.70085,1.0679,1.4843,0.61002,NaN,0.72138,0.94893
bl,0.76789,0.63311,1.1322,1.3278,1.6521,NaN,0.95629,0.6317
,1.8528,1.2347,1.4704,1.2214,2.0044,NaN,1.4364,1.5436
CREG,2.0181,1.3988,1.4035,2.7352,0.94645,1.0674,0.86265,0.80197
BM-40-SPARC,NaN,NaN,NaN,1.0914,0.63943,NaN,0.77655,0.84869
Ntf-2,3.1196,2.7329,2.8723,NaN,1.9296,2.6667,2.1222,NaN
CG18812-RA;CG18812,1.1882,NaN,1.2303,NaN,NaN,3.6211,NaN,NaN
CG5706,0.34866,0.22327,0.4403,0.3667,0.34274,0.28858,0.28501,0.27208
Cpr30B,0.42492,0.40285,1.8144,1.7841,0.077295,0.081729,0.092688,0.089714
NHP2,0.68012,0.73717,1.0071,1.097,0.81913,0.63431,0.73193,0.76202
,2.1392,2.1226,1.8427,NaN,2.3278,2.0687,2.3805,1.5856
CG33054-RB,1.99,1.6151,0.9583,1.3133,1.1694,1.5356,1.8433,1.8932
,1.4664,1.4142,2.3595,2.7049,1.3647,NaN,1.3664,0.99668
Lsd-1,0.33032,0.57644,0.51302,0.58339,0.30504,0.2839,0.33294,0.32934
bun,1.2002,NaN,NaN,NaN,NaN,0.91846,1.2396,1.0723
,0.65307,0.66564,1.3371,1.2643,0.62539,0.90909,0.94685,0.62624
Fdxh,NaN,NaN,2.6113,10.888,NaN,NaN,4.7294,NaN
CG9917-RA,2.232,1.9553,1.9213,2.594,1.5685,1.483,1.5553,1.4068
Bet5,NaN,1.9876,1.4596,NaN,NaN,NaN,NaN,NaN
Nup58,0.89837,0.91041,1.1456,NaN,NaN,NaN,1.4565,1.2478
Csp,1.9812,2.3089,2.0558,2.2557,3.1661,4.5126,3.3096,4.307
,NaN,2.388,2.4629,2.4752,2.6814,NaN,1.9463,2.0732
,1.808,NaN,0.77155,0.67171,NaN,NaN,2.9575,3.0277
,0.75363,0.57218,1.2626,1.4945,0.34006,0.72326,0.44329,0.64315
Mmp1,0.39009,0.43722,NaN,NaN,0.47449,0.33809,0.36389,0.82308
mRpS22,0.58134,0.44402,0.70228,1.0676,0.58434,0.50449,0.67996,0.51719
EG:132E8.3,2.0245,2.3559,1.2768,1.4297,NaN,NaN,1.7487,1.9098
tsu,1.1645,1.1454,1.9993,1.6621,1.2,0.94847,1.0936,1.1946
LSm3,2.0469,1.7988,2.504,2.1691,1.2117,1.094,1.6699,1.2333
,1.3135,1.5449,0.59377,0.77358,1.1281,1.1964,1.0878,4.4374
twr,1.0278,1.1999,1.8739,1.9582,1.4775,0.98255,1.3256,1.1866
,0.66705,0.64446,1.2011,1.4681,0.59967,0.74618,0.58079,0.59484
Tim8,NaN,NaN,2.2719,2.1923,NaN,2.2123,2.2592,2.5402
,3.174,1.8676,NaN,1.8548,3.1688,1.6044,2.855,1.5746
CG34191,1.1944,1.2593,1.6951,1.7587,1.3683,1.051,1.0321,1.1308
,0.71422,0.60373,1.1491,1.2111,0.45491,0.49638,0.45652,0.78362
GstE7,6.6618,NaN,2.8483,2.8765,4.4885,NaN,2.7171,NaN
mRpS9,0.48643,0.40988,0.96741,0.72707,0.39273,0.33418,0.37955,0.43233
Tor,1.2821,1.2184,NaN,0.62376,1.0448,NaN,1.4218,2.2984
mRpL40,0.75893,0.64768,1.6803,1.5817,0.45276,0.38615,0.47813,0.36738
,2.7338,1.8245,3.2805,2.2333,1.7171,1.7329,2.6213,2.8112
,2.3924,2.9051,2.007,NaN,1.2664,1.0217,0.87512,2.4779
CalpB,0.62803,0.78274,0.40614,1.2153,0.54432,NaN,1.1236,0.88804
,4.6492,4.5853,4.873,5.39,4.3641,3.6453,5.5738,6.4053
Hsp67Bc,0.54529,0.41599,2.1346,2.7119,0.44638,0.51864,0.416,0.63564
Obp83b,NaN,14.934,2.8902,4.8728,NaN,NaN,6.01,6.4767
,3.7298,6.9638,1.2064,4.054,3.7468,NaN,4.924,4.8478
CG12896-RA,3.8925,4.134,5.5782,6.069,3.7128,3.0281,5.1305,4.4318
,4.4283,4.4443,9.3292,6.8754,11.444,4.6611,3.7388,4.0189
MESR6,0.19775,0.32929,NaN,NaN,4.4365,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
skpB,NaN,NaN,NaN,0.26996,0.96758,0.17047,NaN,NaN
Cp36,NaN,NaN,0.11104,0.31623,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.2356,NaN,NaN,NaN,NaN
Spn88Eb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
smid,0.28347,0.34213,NaN,NaN,0.60358,NaN,0.47409,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,1.0418,NaN,NaN
CG13759-RA,NaN,NaN,NaN,0.45203,0.57235,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.22977,NaN,NaN,0.18487,NaN,NaN,NaN
Nc73EF,NaN,0.39776,0.2334,NaN,0.44974,NaN,NaN,NaN
Nup93-1,0.26031,0.33923,NaN,0.60878,NaN,0.41915,0.94174,NaN
CG31534-RB,0.43844,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17544-RA,0.69581,0.33618,NaN,0.45514,0.29237,NaN,0.31141,0.13502
Cyp6a17,0.63487,NaN,0.7466,0.52182,0.27356,NaN,NaN,NaN
sec8,0.35085,0.25732,NaN,NaN,NaN,NaN,NaN,NaN
GluClalpha,0.27756,NaN,0.52488,NaN,NaN,0.33266,NaN,0.39989
Ppat-Dpck,1.1858,NaN,NaN,0.70683,0.24898,NaN,0.94243,NaN
CG1598,NaN,0.41063,0.77909,0.45169,0.43031,0.64089,0.47076,0.51237
Pak3,NaN,NaN,NaN,NaN,0.24155,NaN,NaN,NaN
ABCB7,NaN,NaN,0.49742,0.25389,0.20123,0.6903,NaN,NaN
O-fut1,NaN,NaN,NaN,NaN,0.32506,NaN,0.21304,NaN
sec24,0.63074,NaN,0.39252,0.34834,0.22505,0.18508,0.29481,NaN
CanA-14F,0.49872,0.2816,0.33966,0.35687,0.63922,NaN,0.52345,0.77746
,0.37616,0.36429,0.60535,0.43361,NaN,NaN,NaN,NaN
zetaCOP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cg25C,0.54513,0.60989,0.39071,NaN,0.5267,NaN,NaN,NaN
CG30185;Gr59f,NaN,0.84864,NaN,NaN,NaN,NaN,NaN,NaN
RanGap,0.4966,0.30494,0.58699,0.55687,0.51276,NaN,0.39801,0.44049
Ac76E,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TotM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG11583,NaN,NaN,NaN,NaN,0.38988,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pi4KIIalpha,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
uif,0.21238,0.21692,2.8238,NaN,0.23941,0.26105,0.20039,0.28109
CG6136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4538-RA,0.384,0.38609,0.60097,0.41737,0.46567,0.27953,0.40932,0.36004
CG42486-RA,0.85668,0.82646,0.65938,0.56151,NaN,NaN,NaN,NaN
Jheh3,NaN,NaN,0.81406,NaN,NaN,NaN,NaN,NaN
GS,0.39504,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP100F,0.22813,0.44626,NaN,NaN,0.64538,NaN,NaN,0.48462
HtrA2,NaN,0.89396,0.71562,0.77352,NaN,1.3726,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG15187,0.42149,0.34462,0.83499,1.0714,1.0163,NaN,1.2048,0.52913
,NaN,NaN,0.64886,0.604,NaN,NaN,0.52235,0.45815
CG15617-RA,NaN,NaN,0.59932,NaN,NaN,NaN,NaN,NaN
Moca-cyp,0.48782,NaN,NaN,NaN,0.56103,NaN,NaN,NaN
Patronin;ssp4,NaN,1.5595,NaN,NaN,0.76826,NaN,NaN,NaN
CG17837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ras64B,0.40696,0.52714,0.74996,0.86495,0.63519,0.41916,NaN,NaN
AP-1mu,0.49161,0.72732,0.76346,NaN,NaN,0.53938,NaN,0.50956
,0.80974,0.63071,NaN,1.1284,NaN,NaN,0.67783,2.1176
,NaN,0.95197,0.93901,NaN,NaN,NaN,NaN,NaN
,0.99836,1.1043,1.03,NaN,NaN,1.0855,1.4298,NaN
,NaN,NaN,NaN,0.69065,NaN,1.5865,NaN,NaN
l(2)35Bg,0.51586,0.4968,0.63164,NaN,NaN,NaN,NaN,NaN
usnp,0.71423,NaN,1.0085,NaN,0.86109,NaN,0.65982,NaN
aru,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dcp1,0.36166,NaN,NaN,NaN,0.57295,NaN,0.67434,0.37487
TwdlBeta,NaN,NaN,NaN,NaN,0.95911,NaN,1.0837,NaN
RIC-3,0.75758,0.97361,NaN,0.93975,0.99038,0.63304,1.3673,0.81962
sgl,0.38129,0.28341,0.49014,0.40253,0.69093,1.1762,NaN,1.0286
,NaN,13.681,NaN,NaN,NaN,NaN,NaN,NaN
Srp14,0.7537,0.71893,NaN,NaN,0.68917,NaN,0.6148,NaN
Rox8,NaN,0.48701,0.69464,NaN,0.36908,0.99721,0.35831,0.3694
,NaN,0.53356,NaN,NaN,NaN,NaN,0.56962,0.29177
slik,0.34541,0.069384,NaN,NaN,0.44686,NaN,NaN,1.2644
Gos28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.67866
PPP4R2r,0.71859,NaN,1.0891,NaN,0.67614,NaN,NaN,NaN
dally,1.0197,0.84353,NaN,1.0139,NaN,NaN,0.68859,0.74813
CG33506-RA,0.88157,1.0353,1.1319,1.4567,1.0861,0.67395,0.7933,0.85215
nero,NaN,NaN,0.68676,NaN,NaN,NaN,NaN,NaN
nrm,NaN,1.0549,1.6117,NaN,NaN,NaN,NaN,0.8347
,NaN,0.66984,1.2234,NaN,1.6089,NaN,NaN,NaN
Ccp84Ag,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL46,0.32508,0.51104,NaN,0.71818,0.72103,0.66759,0.30682,0.3319
,0.85185,1.5895,1.4849,1.472,0.96667,0.63259,1.0302,0.85927
mRpL50,NaN,0.75197,NaN,NaN,0.75072,NaN,0.72128,0.80103
,0.62425,0.78098,NaN,NaN,0.73958,NaN,NaN,NaN
Obp57a,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mrj,NaN,NaN,NaN,NaN,1.0498,NaN,NaN,NaN
CG5532,1.5537,1.583,1.3901,1.3313,1.8112,NaN,1.6294,1.4691
,0.66408,0.6491,0.9736,0.79368,0.79771,NaN,0.69494,0.642
,NaN,1.4216,1.4146,NaN,1.5408,NaN,1.5502,1.6584
,0.82409,0.9339,NaN,NaN,NaN,NaN,NaN,0.90078
atilla,NaN,NaN,1.937,NaN,1.2142,NaN,0.9769,1.1886
beat-VII,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3172
,1.1477,1.0027,NaN,NaN,0.79937,0.69042,0.9154,0.86874
l(3)neo43,NaN,NaN,NaN,NaN,NaN,2.656,2.5036,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RpII215,0.60314,3.4265,0.64802,0.65051,0.58098,1.8865,2.0299,3.2468
CG42487-RA,NaN,NaN,1.9159,NaN,NaN,NaN,NaN,NaN
RpS29,NaN,0.88578,0.57853,0.70018,0.56094,1.7521,0.84053,1.4893
Rsf1,NaN,0.86666,NaN,NaN,NaN,NaN,NaN,NaN
Ect3,0.51578,0.88736,NaN,1.6497,0.53785,0.57639,0.65885,0.57778
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.94151,1.0042,1.5412,1.7723,0.99699,1.4033,1.2156,1.0546
RnpS1,0.71093,0.90355,NaN,2.0348,1.3146,0.77512,0.79463,0.80329
mRpL28,1.1755,1.0397,NaN,2.0737,0.48997,0.41286,0.67973,0.91861
CG10635,1.1822,0.64099,2.5187,NaN,0.9109,0.80205,NaN,1.0732
Sh,NaN,NaN,0.40391,NaN,NaN,1.7362,NaN,NaN
,NaN,NaN,0.30321,NaN,NaN,NaN,NaN,NaN
CG7280,NaN,1.1368,NaN,NaN,NaN,NaN,NaN,1.0661
Prosbeta1,0.38624,0.92861,0.82411,0.74704,0.48584,NaN,0.3227,0.91571
yrt,NaN,NaN,NaN,NaN,1.0123,NaN,NaN,NaN
CG34242-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
spz,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
laccase2,NaN,NaN,NaN,NaN,0.35179,NaN,NaN,1.102
CG17508-RA,NaN,1.3145,NaN,NaN,NaN,NaN,1.5848,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8245-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vlc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hsepi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3270-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Eb1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
koi,NaN,NaN,NaN,0.64119,0.59938,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG1383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cn,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8726-RB,0.20287,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Asap1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mal-A6,NaN,NaN,NaN,NaN,NaN,NaN,0.81025,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG8586-RA,NaN,0.36437,NaN,NaN,NaN,NaN,0.22657,NaN
sec31,0.24259,0.23091,0.48736,0.43563,0.383,NaN,0.21866,0.24294
CG8243-RA,NaN,NaN,NaN,NaN,0.29684,4.3261,NaN,NaN
,0.2467,0.51213,NaN,0.34152,0.19547,NaN,0.53537,0.18298
Ance-4,0.28241,0.22146,NaN,NaN,0.63972,0.46681,0.3166,0.23204
Pmm45A,0.30053,NaN,0.23843,0.21869,0.25388,0.43923,0.15642,0.18117
Su(var)2-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hydr1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
alc,0.89484,0.63154,NaN,0.79032,NaN,NaN,0.58941,NaN
Rme-8,0.39209,0.20579,0.42497,0.49349,0.23826,NaN,2.0107,0.12421
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pkn,0.2541,0.23694,0.16162,0.27138,0.35755,NaN,0.22636,0.2672
GstT2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.0325,1.2361,1.4866,0.64044,0.85013,0.6723,0.37774,0.43303
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ccs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAP,NaN,NaN,NaN,NaN,0.48449,NaN,NaN,0.87441
