Gene names,Alpha A30P_day_10, Alpha A53T_day_10, Control _day_10
Cpr60D,#DIV/0!,#DIV/0!,#DIV/0!
parvin,0.96821,0.9168525,0.94253125
larp,0.65596875,0.709060625,0.682514688
Irp-1A,0.4295775,0.42620375,0.427890625
,#DIV/0!,#DIV/0!,#DIV/0!
Hmu,0.600965,0.58872,0.5948425
CG4603,0.56511125,0.560096875,0.562604063
,0.951325,0.9756075,0.96346625
scramb2,0.6477275,0.66063125,0.654179375
Mgstl,#DIV/0!,#DIV/0!,#DIV/0!
CG2061,#DIV/0!,#DIV/0!,#DIV/0!
,1.12468875,1.086913125,1.105800938
mRpS7,0.38434,0.37989,0.382115
inaF-B,1.3427,1.30305,1.322875
CG3246-RA,0.82732375,0.819885625,0.823604688
,1.5287,1.584925,1.5568125
CG30491;CG30495,1.01416625,0.967651875,0.990909063
,0.5391675,0.52939625,0.534281875
nrv2,#DIV/0!,#DIV/0!,#DIV/0!
,1.2161825,1.14042375,1.178303125
Nckx30C,1.36677875,1.326118125,1.346448438
,#DIV/0!,#DIV/0!,#DIV/0!
,0.651435,0.6670675,0.65925125
HP1b,1.10523125,1.098684375,1.101957813
Vps20,1.5469875,1.58433125,1.565659375
,0.9645575,0.98333125,0.973944375
qsm,1.459375,1.4643625,1.46186875
Dg,0.9174875,0.85938375,0.888435625
PDCD-5,0.76998375,0.758163125,0.764073438
LSm-4-RB,0.64953,0.669285,0.6594075
bl,1.4142,1.29525,1.354725
,1.8892375,1.83165625,1.860446875
CREG,1.18230625,1.269996875,1.226151563
BM-40-SPARC,#DIV/0!,#DIV/0!,#DIV/0!
Ntf-2,2.455175,2.5336875,2.49443125
CG18812-RA;CG18812,3.012875,2.7087625,2.86081875
CG5706,0.30823625,0.304524375,0.306380313
Cpr30B,0.16310525,0.204901875,0.184003563
NHP2,0.72220125,0.719941875,0.721071563
,2.1814125,2.17299375,2.177203125
CG33054-RB,1.4650125,1.52126875,1.493140625
,1.3836,1.39305,1.388325
Lsd-1,0.3341975,0.35406125,0.344129375
bun,0.988895,1.0241125,1.00650375
,0.74026875,0.726783125,0.733525938
Fdxh,#DIV/0!,#DIV/0!,#DIV/0!
CG9917-RA,1.667725,1.7387125,1.70321875
Bet5,#DIV/0!,#DIV/0!,#DIV/0!
Nup58,#DIV/0!,#DIV/0!,#DIV/0!
Csp,3.415775,3.2039875,3.30988125
,2.60805,2.571375,2.5897125
,#DIV/0!,#DIV/0!,#DIV/0!
,0.56447125,0.580876875,0.572674063
Mmp1,0.40813125,0.409051875,0.408591563
mRpS22,0.53648125,0.532514375,0.534497813
EG:132E8.3,#DIV/0!,#DIV/0!,#DIV/0!
tsu,1.09441375,1.104503125,1.099458438
LSm3,1.34535,1.4416,1.393475
,1.2289875,1.26235625,1.245671875
twr,1.20098125,1.186459375,1.193720313
,0.6686325,0.66648625,0.667559375
Tim8,#DIV/0!,#DIV/0!,#DIV/0!
,2.42015,2.436925,2.4285375
CG34191,1.21395,1.2161,1.215025
,0.5214775,0.54439375,0.532935625
GstE7,5.031825,5.3034875,5.16765625
mRpS9,0.38463,0.3952175,0.38992375
Tor,1.0961625,1.12184375,1.109003125
mRpL40,0.4904175,0.52589875,0.508158125
,1.8635375,1.93280625,1.898171875
,1.520225,1.7083125,1.61426875
CalpB,0.58458625,0.604719375,0.594652813
,4.1578375,4.23440625,4.196121875
Hsp67Bc,0.4820425,0.48180875,0.481925625
Obp83b,#DIV/0!,#DIV/0!,#DIV/0!
,4.1468,4.3468,4.2468
CG12896-RA,3.53115,3.6115,3.571325
,7.1484875,6.69645625,6.922471875
MESR6,3.393255,2.8716325,3.13244375
,#DIV/0!,#DIV/0!,#DIV/0!
skpB,#DIV/0!,#DIV/0!,#DIV/0!
Cp36,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Spn88Eb,#DIV/0!,#DIV/0!,#DIV/0!
smid,0.530885,0.4945375,0.51271125
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG13759-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.196095,0.2017075,0.19890125
Nc73EF,0.436745,0.4302475,0.43349625
Nup93-1,0.389305,0.3743825,0.38184375
CG31534-RB,#DIV/0!,#DIV/0!,#DIV/0!
CG17544-RA,0.34827625,0.376229375,0.362252813
Cyp6a17,0.3638875,0.40905125,0.386469375
sec8,#DIV/0!,#DIV/0!,#DIV/0!
GluClalpha,0.318885,0.3119975,0.31544125
Ppat-Dpck,0.483185,0.6002875,0.54173625
CG1598,0.5043575,0.48873625,0.496546875
Pak3,#DIV/0!,#DIV/0!,#DIV/0!
ABCB7,#DIV/0!,#DIV/0!,#DIV/0!
O-fut1,#DIV/0!,#DIV/0!,#DIV/0!
sec24,0.31148375,0.364693125,0.338088438
CanA-14F,0.576955,0.5458225,0.56138875
,#DIV/0!,#DIV/0!,#DIV/0!
zetaCOP,#DIV/0!,#DIV/0!,#DIV/0!
Cg25C,0.5394025,0.54575375,0.542578125
CG30185;Gr59f,#DIV/0!,#DIV/0!,#DIV/0!
RanGap,0.4847625,0.47076375,0.477763125
Ac76E,#DIV/0!,#DIV/0!,#DIV/0!
TotM,#DIV/0!,#DIV/0!,#DIV/0!
CG11583,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pi4KIIalpha,#DIV/0!,#DIV/0!,#DIV/0!
uif,0.241335,0.2368875,0.23911125
CG6136,#DIV/0!,#DIV/0!,#DIV/0!
CG4538-RA,0.37571125,0.377266875,0.376489063
CG42486-RA,#DIV/0!,#DIV/0!,#DIV/0!
Jheh3,#DIV/0!,#DIV/0!,#DIV/0!
GS,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RhoGAP100F,0.56833375,0.529810625,0.549072188
HtrA2,1.25294,1.19311,1.223025
,#DIV/0!,#DIV/0!,#DIV/0!
CG15187,0.85798875,0.778833125,0.818410938
,#DIV/0!,#DIV/0!,#DIV/0!
CG15617-RA,#DIV/0!,#DIV/0!,#DIV/0!
Moca-cyp,0.5427275,0.53357625,0.538151875
Patronin;ssp4,0.96607,1.064975,1.0155225
CG17837,#DIV/0!,#DIV/0!,#DIV/0!
Ras64B,0.51214375,0.504628125,0.508385938
AP-1mu,0.55690125,0.565661875,0.561281563
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,1.0769575,1.07268625,1.074821875
,#DIV/0!,#DIV/0!,#DIV/0!
l(2)35Bg,#DIV/0!,#DIV/0!,#DIV/0!
usnp,0.824375,0.8060175,0.81519625
aru,#DIV/0!,#DIV/0!,#DIV/0!
Dcp1,0.5201275,0.49371625,0.506921875
TwdlBeta,#DIV/0!,#DIV/0!,#DIV/0!
RIC-3,0.82518125,0.831916875,0.828549063
sgl,0.78326125,0.708109375,0.745685313
,#DIV/0!,#DIV/0!,#DIV/0!
Srp14,0.70095625,0.706849375,0.703902813
Rox8,0.63411125,0.609594375,0.621852813
,#DIV/0!,#DIV/0!,#DIV/0!
slik,0.38699425,0.357061375,0.372027813
Gos28,#DIV/0!,#DIV/0!,#DIV/0!
PPP4R2r,0.6867525,0.69205875,0.689405625
dally,#DIV/0!,#DIV/0!,#DIV/0!
CG33506-RA,0.8996275,0.90942875,0.904528125
nero,#DIV/0!,#DIV/0!,#DIV/0!
nrm,#DIV/0!,#DIV/0!,#DIV/0!
,1.374135,1.2567525,1.31544375
Ccp84Ag,#DIV/0!,#DIV/0!,#DIV/0!
mRpL46,0.6252475,0.59071625,0.607981875
,0.90489125,0.957521875,0.931206563
mRpL50,0.7510325,0.75118875,0.751110625
,0.73033875,0.725718125,0.728028438
Obp57a,#DIV/0!,#DIV/0!,#DIV/0!
mrj,#DIV/0!,#DIV/0!,#DIV/0!
CG5532,1.7504875,1.72013125,1.735309375
,0.76243,0.74479,0.75361
,1.511,1.4961,1.50355
,#DIV/0!,#DIV/0!,#DIV/0!
atilla,#DIV/0!,#DIV/0!,#DIV/0!
beat-VII,#DIV/0!,#DIV/0!,#DIV/0!
,0.82747125,0.868759375,0.848115313
l(3)neo43,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RpII215,1.42901,1.526645,1.4778275
CG42487-RA,#DIV/0!,#DIV/0!,#DIV/0!
RpS29,1.088835,1.0549925,1.07191375
Rsf1,#DIV/0!,#DIV/0!,#DIV/0!
Ect3,0.5932325,0.61128875,0.602260625
,#DIV/0!,#DIV/0!,#DIV/0!
,1.1433225,1.11491125,1.129116875
RnpS1,0.985455,0.9557525,0.97060375
mRpL28,0.61546125,0.697484375,0.656472813
CG10635,0.870255,0.877145,0.8737
Sh,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG7280,#DIV/0!,#DIV/0!,#DIV/0!
Prosbeta1,0.52873625,0.550184375,0.539460313
yrt,#DIV/0!,#DIV/0!,#DIV/0!
CG34242-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nup75,#DIV/0!,#DIV/0!,#DIV/0!
spz,#DIV/0!,#DIV/0!,#DIV/0!
laccase2,#DIV/0!,#DIV/0!,#DIV/0!
CG17508-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8245-RA,#DIV/0!,#DIV/0!,#DIV/0!
vlc,#DIV/0!,#DIV/0!,#DIV/0!
Hsepi,#DIV/0!,#DIV/0!,#DIV/0!
CG3270-RA,#DIV/0!,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!,#DIV/0!
Eb1,#DIV/0!,#DIV/0!,#DIV/0!
koi,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG1383,#DIV/0!,#DIV/0!,#DIV/0!
cn,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8726-RB,#DIV/0!,#DIV/0!,#DIV/0!
Asap1,#DIV/0!,#DIV/0!,#DIV/0!
Mal-A6,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG8586-RA,#DIV/0!,#DIV/0!,#DIV/0!
sec31,0.3464375,0.32815625,0.337296875
CG8243-RA,#DIV/0!,#DIV/0!,#DIV/0!
,0.24145625,0.264449375,0.252952813
Ance-4,0.4779325,0.44026625,0.459099375
Pmm45A,0.33504875,0.329295625,0.332172188
Su(var)2-10,#DIV/0!,#DIV/0!,#DIV/0!
Hydr1,#DIV/0!,#DIV/0!,#DIV/0!
alc,#DIV/0!,#DIV/0!,#DIV/0!
Rme-8,0.25343,0.261015,0.2572225
,#DIV/0!,#DIV/0!,#DIV/0!
Pkn,0.3295425,0.31553875,0.322540625
GstT2,#DIV/0!,#DIV/0!,#DIV/0!
,0.85448625,0.901121875,0.877804063
,#DIV/0!,#DIV/0!,#DIV/0!
Ccs,#DIV/0!,#DIV/0!,#DIV/0!
CAP,#DIV/0!,#DIV/0!,#DIV/0!
CG12895,#DIV/0!,#DIV/0!,#DIV/0!
nclb,#DIV/0!,#DIV/0!,#DIV/0!
CG18004-RB;CG18004-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,0.280775,0.2843725,0.28257375
rho-7,0.7463025,0.73341375,0.739858125
Mppe,#DIV/0!,#DIV/0!,#DIV/0!
Prp8,0.32484375,0.344398125,0.334620938
RpS11,0.175985,0.1816425,0.17881375
garz,1.53567375,1.423360625,1.479517188
Cpr49Ag,#DIV/0!,#DIV/0!,#DIV/0!
Dyb,#DIV/0!,#DIV/0!,#DIV/0!
CG8545-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG4646,1.3941,1.4935,1.4438
CG4679,0.29166,0.2895475,0.29060375
CG10799-RA,#DIV/0!,#DIV/0!,#DIV/0!
mip120,#DIV/0!,#DIV/0!,#DIV/0!
mRpL53,1.70309625,1.724771875,1.713934063
,#DIV/0!,#DIV/0!,#DIV/0!
Prosap,#DIV/0!,#DIV/0!,#DIV/0!
cg,#DIV/0!,#DIV/0!,#DIV/0!
BcDNA.GH03482;CG10249-RD,#DIV/0!,#DIV/0!,#DIV/0!
Khc-73,#DIV/0!,#DIV/0!,#DIV/0!
eIF2B-gamma,0.327365,0.3652975,0.34633125
CG8192-RA,0.56485375,0.567998125,0.566425938
,1.0529475,1.12680625,1.089876875
Jhedup,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
clu,0.23898875,0.221750625,0.230369688
Sema-2b,#DIV/0!,#DIV/0!,#DIV/0!
Syn2,0.431255,0.4051675,0.41821125
CG8303,#DIV/0!,#DIV/0!,#DIV/0!
Ehbp1,0.9750075,0.92311125,0.949059375
RhoGEF2,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
l(2)k01209,#DIV/0!,#DIV/0!,#DIV/0!
CG4853-RA,#DIV/0!,#DIV/0!,#DIV/0!
Dcr-2,0.4050775,0.49484125,0.449959375
,#DIV/0!,#DIV/0!,#DIV/0!
CG4975-RB;CG4984-RC,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Muc55B,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
GstE8,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mRpS28,#DIV/0!,#DIV/0!,#DIV/0!
,0.8473225,0.81062875,0.828975625
CG15099,#DIV/0!,#DIV/0!,#DIV/0!
CG15111-RB,#DIV/0!,#DIV/0!,#DIV/0!
hppy,#DIV/0!,#DIV/0!,#DIV/0!
par-1,#DIV/0!,#DIV/0!,#DIV/0!
par-1,0.578095,0.5902525,0.58417375
par-1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG17041,#DIV/0!,#DIV/0!,#DIV/0!
CG4495,#DIV/0!,#DIV/0!,#DIV/0!
Galpha49B;Galphaq,#DIV/0!,#DIV/0!,#DIV/0!
Slob,#DIV/0!,#DIV/0!,#DIV/0!
CG6043-RH,0.26608375,0.285430625,0.275757188
Syx5,1.56135,1.57355,1.56745
,#DIV/0!,#DIV/0!,#DIV/0!
orb2,0.25951125,0.250509375,0.255010313
bol,#DIV/0!,#DIV/0!,#DIV/0!
Trl,#DIV/0!,#DIV/0!,#DIV/0!
Ama,#DIV/0!,#DIV/0!,#DIV/0!
Timp,#DIV/0!,#DIV/0!,#DIV/0!
CtBP,#DIV/0!,#DIV/0!,#DIV/0!
Syp,#DIV/0!,#DIV/0!,#DIV/0!
Rb97D,#DIV/0!,#DIV/0!,#DIV/0!
Hrb98DE,#DIV/0!,#DIV/0!,#DIV/0!
CG7816,#DIV/0!,#DIV/0!,#DIV/0!
CG3774;Efr,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Klp10A,#DIV/0!,#DIV/0!,#DIV/0!
ari-1,#DIV/0!,#DIV/0!,#DIV/0!
car,#DIV/0!,#DIV/0!,#DIV/0!
CG10187,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Not1,0.410965,0.4552525,0.43310875
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG5544,0.82327,0.75035,0.78681
,2.755155,2.3738825,2.56451875
,#DIV/0!,#DIV/0!,#DIV/0!
Vrp1,#DIV/0!,#DIV/0!,#DIV/0!
Cda5,#DIV/0!,#DIV/0!,#DIV/0!
CG7337-RB;CG7337-RA,0.342245,0.3481875,0.34521625
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG34310-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Lar,#DIV/0!,#DIV/0!,#DIV/0!
RtGEF,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG34039-RA,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
enc,#DIV/0!,#DIV/0!,#DIV/0!
Cip4,0.3263725,0.33679875,0.331585625
sif,#DIV/0!,#DIV/0!,#DIV/0!
Ect4,#DIV/0!,#DIV/0!,#DIV/0!
GAPcenA,#DIV/0!,#DIV/0!,#DIV/0!
Argk,#DIV/0!,#DIV/0!,#DIV/0!
,0.76679,0.777835,0.7723125
,#DIV/0!,#DIV/0!,#DIV/0!
CG12355-RA,#DIV/0!,#DIV/0!,#DIV/0!
l(3)72Do,#DIV/0!,#DIV/0!,#DIV/0!
Abl,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Shal,#DIV/0!,#DIV/0!,#DIV/0!
Ten-m,#DIV/0!,#DIV/0!,#DIV/0!
ArfGAP3,0.49161625,0.495294375,0.493455313
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
pyd,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Dh44,#DIV/0!,#DIV/0!,#DIV/0!
Pnn,#DIV/0!,#DIV/0!,#DIV/0!
cu,#DIV/0!,#DIV/0!,#DIV/0!
NijC,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
btsz,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Efa6,#DIV/0!,#DIV/0!,#DIV/0!
Pli,#DIV/0!,#DIV/0!,#DIV/0!
CG6422-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CHKov1,#DIV/0!,#DIV/0!,#DIV/0!
LpR1,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
sda,#DIV/0!,#DIV/0!,#DIV/0!
woc,0.54951,0.51489,0.5322
Hayan,#DIV/0!,#DIV/0!,#DIV/0!
Sec16,#DIV/0!,#DIV/0!,#DIV/0!
Rnp4F,0.5274475,0.54592125,0.536684375
CG14445-RB,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Nup153,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
CG40498-RF,1.588615,1.4844225,1.53651875
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Gfat1,0.26621625,0.257634375,0.261925313
how,#DIV/0!,#DIV/0!,#DIV/0!
Sfp87B,#DIV/0!,#DIV/0!,#DIV/0!
CG9801;CG9801-RA,#DIV/0!,#DIV/0!,#DIV/0!
CG8909-RB,#DIV/0!,#DIV/0!,#DIV/0!
metro,#DIV/0!,#DIV/0!,#DIV/0!
mbl,#DIV/0!,#DIV/0!,#DIV/0!
Jabba,0.64438,0.60709,0.625735
tn,0.21294875,0.203005625,0.207977188
CG30387,#DIV/0!,#DIV/0!,#DIV/0!
Sdc,#DIV/0!,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!,#DIV/0!
St3,#DIV/0!,#DIV/0!,#DIV/0!
Nurf-38,#DIV/0!,#DIV/0!,#DIV/0!
Fis1,#DIV/0!,#DIV/0!,#DIV/0!
CG8740-RB,#DIV/0!,#DIV/0!,#DIV/0!
CG31869-RB,#DIV/0!,#DIV/0!,#DIV/0!
Su(dx),#DIV/0!,#DIV/0!,#DIV/0!
CG42371-RA,#DIV/0!,#DIV/0!,#DIV/0!
Rrp1,0.8988175,0.78832625,0.843571875
kis,0.5181775,0.52219125,0.520184375
drongo,#DIV/0!,#DIV/0!,#DIV/0!
pgant4,#DIV/0!,#DIV/0!,#DIV/0!
fred,#DIV/0!,#DIV/0!,#DIV/0!
PDZ-GEF,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
RhoGAP71E,#DIV/0!,#DIV/0!,#DIV/0!
Nedd4,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
mus312-RD,1.2097,1.23655,1.223125
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
nudE,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
cher,#DIV/0!,#DIV/0!,#DIV/0!
CG6364,#DIV/0!,#DIV/0!,#DIV/0!
Lerp,#DIV/0!,#DIV/0!,#DIV/0!
spg,#DIV/0!,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!,#DIV/0!
MTA1-like,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
Pak,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!,#DIV/0!
rg,0.49278625,0.508116875,0.500451563
CG42323-RC,#DIV/0!,#DIV/0!,#DIV/0!
tlk,#DIV/0!,#DIV/0!,#DIV/0!
CG4928,#DIV/0!,#DIV/0!,#DIV/0!
nemy,#DIV/0!,#DIV/0!,#DIV/0!
Sclp,0.29459875,0.299795625,0.297197188
Sfp96F,#DIV/0!,#DIV/0!,#DIV/0!
Evi5;CG11727,#DIV/0!,#DIV/0!,#DIV/0!
Eph,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!,#DIV/0!
