Gene names, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2,
,NaN,0.54317,0.46339,0.49296,
torp4a,NaN,0.54596,0.86905,0.8171,
rogdi,NaN,0.54607,0.47744,0.44941,
CG12321-RA,NaN,0.54784,0.59886,0.75222,
Drs;Drsl5,NaN,0.54902,NaN,0.51807,
Psi,NaN,0.56317,0.53432,0.8923,
Myo31DF,NaN,0.56518,NaN,0.23616,
,0.30003,0.56664,NaN,0.3908,
bel,NaN,0.57342,0.47389,0.86279,
,NaN,0.57498,1.157,0.80013,
eas,NaN,0.57897,0.49783,0.63932,
SelR,NaN,0.58253,NaN,0.62232,
JhI-26,0.49418,0.58992,NaN,0.66266,
EG:100G10.7,NaN,0.59434,1.0992,0.86488,
Gtp-bp,0.62109,0.59522,NaN,0.79691,
,NaN,0.6108,0.46174,0.76208,
CG13601,0.46478,0.61246,NaN,0.67919,
Bap55,NaN,0.61715,0.49888,0.7633,
wuho,NaN,0.61946,0.36533,0.50802,
bsk,NaN,0.62168,0.80218,0.7044,
Rap2l,NaN,0.64092,0.70992,0.66255,
CG10306,NaN,0.64325,0.98892,0.48766,
Aats-gln,NaN,0.64667,0.93895,0.37131,
Dsk,NaN,0.65888,NaN,0.42471,
,NaN,0.66043,1.0087,0.31239,
,NaN,0.66615,0.43683,0.36685,
Sodh-2,NaN,0.67077,0.54807,0.46318,
Pdcd4,NaN,0.68395,0.48281,0.55863,
anon-35F/36A,0.66364,0.68631,NaN,0.70733,
svr,NaN,0.6881,0.73426,0.68191,
CG16912,0.72055,0.68842,NaN,0.80019,
Mtl,NaN,0.69319,NaN,0.92154,
,NaN,0.70261,0.74277,0.79303,
Idgf1,NaN,0.70385,0.4553,1.1182,
twf,NaN,0.70889,0.5823,0.93991,
CkIIbeta,NaN,0.71624,0.70649,1.1505,
,0.63332,0.71715,NaN,1.642,
RanBP3,NaN,0.71771,0.70844,0.64054,
CadN,NaN,0.72816,0.9576,0.7745,
,0.61691,0.74689,NaN,0.31201,
,NaN,0.76998,0.61885,0.74753,
Ucp4A,0.69649,0.77876,NaN,0.82295,
Rpd3,NaN,0.78267,NaN,0.79428,
UbcD4,NaN,0.78585,0.52875,0.65284,
CSN5,NaN,0.79789,0.63223,0.7365,
,NaN,0.80004,0.68661,0.73879,
Rab8,NaN,0.82924,0.88283,1.0867,
Gs1l,NaN,0.83579,1.0599,0.94708,
RpL23,NaN,0.83969,0.97927,0.99816,
Irc,0.34011,0.87369,NaN,0.6995,
,NaN,0.88227,1.2045,1.2017,
Sac1,NaN,0.88718,0.31119,0.25542,
Paf-AHalpha,NaN,0.88829,NaN,1.1551,
,NaN,0.88917,0.86683,0.88505,
GstD2,NaN,0.89594,NaN,0.85279,
Ppt1,0.84339,0.89694,NaN,0.5684,
Sgt1,0.72708,0.94809,NaN,0.78487,
Arpc3A,NaN,0.95466,0.94969,1.1491,
Cpr60D,0.90256,0.95487,NaN,0.8289,
parvin,0.95675,0.9782,NaN,0.81278,
larp,0.87709,0.9805,NaN,1.4428,
Irp-1A,NaN,0.9922,3.1181,0.45745,
,0.77785,1.0093,NaN,0.85556,
Hmu,NaN,1.0136,0.73045,0.70777,
CG4603,NaN,1.0149,1.0585,1.4033,
,NaN,1.0382,0.72305,0.83836,
scramb2,NaN,1.064,0.7895,0.80202,
Mgstl,NaN,1.0788,0.88473,0.78984,
CG2061,NaN,1.0811,NaN,0.95053,
,0.76291,1.1036,NaN,0.72637,
mRpS7,NaN,1.1129,2.0451,1.0195,
inaF-B,NaN,1.1255,1.3459,0.60196,
CG3246-RA,NaN,1.1502,0.6861,0.71862,
,NaN,1.1549,1.0545,0.97488,
CG30491;CG30495,NaN,1.1575,1.2336,0.69034,
,NaN,1.1847,1.0583,0.93744,
nrv2,0.94029,1.1925,NaN,1.1497,
,NaN,1.208,0.7029,1.1173,
Nckx30C,NaN,1.2234,1.2239,0.99289,
,NaN,1.2286,1.2937,1.2568,
,NaN,1.2611,1.3862,0.81203,
HP1b,1.2729,1.2639,NaN,1.4075,
Vps20,NaN,1.264,1.3259,1.3496,
,NaN,1.2677,0.96564,0.89749,
qsm,NaN,1.2891,1.4493,1.2228,
Dg,NaN,1.2938,NaN,1.1791,
PDCD-5,NaN,1.2965,1.2512,1.1966,
LSm-4-RB,NaN,1.3023,NaN,1.6272,
bl,NaN,1.3166,1.2238,1.3627,
,NaN,1.3545,1.2928,1.1626,
CREG,1.1528,1.3853,NaN,0.96401,
BM-40-SPARC,NaN,1.3969,0.98804,1.1287,
Ntf-2,NaN,1.3982,2.6923,2.7978,
CG18812-RA;CG18812,1.1874,1.4278,NaN,1.1001,
CG5706,NaN,1.441,0.29015,0.4014,
Cpr30B,NaN,1.4482,1.9797,1.8734,
NHP2,NaN,1.455,0.91956,1.1201,
,NaN,1.5018,1.5183,1.442,
CG33054-RB,NaN,1.512,1.2975,1.154,
,NaN,1.5566,NaN,1.5342,
Lsd-1,NaN,1.5637,1.0228,1.0098,
bun,NaN,1.5858,NaN,1.6734,
,NaN,1.6408,1.2091,1.4484,
Fdxh,NaN,1.6472,3.5561,3.685,
CG9917-RA,NaN,1.6503,1.7969,2.0599,
Bet5,NaN,1.6704,1.3646,1.5764,
Nup58,NaN,1.6941,NaN,1.1904,
Csp,NaN,1.7505,1.5881,1.775,
,NaN,1.7873,1.9536,2.1612,
,NaN,1.8386,0.76884,0.93842,
,NaN,1.8949,1.1791,1.7147,
Mmp1,NaN,1.906,NaN,0.91769,
mRpS22,NaN,1.9289,1.3205,1.7031,
EG:132E8.3,NaN,2.0358,NaN,1.7307,
tsu,NaN,2.1093,1.5353,1.6212,
LSm3,NaN,2.1256,2.2701,2.4518,
,NaN,2.2077,0.61532,0.55544,
twr,1.8946,2.3164,NaN,1.9975,
,NaN,2.3254,1.4477,1.9974,
Tim8,NaN,2.4792,2.0867,2.2184,
,2.4843,2.4874,NaN,2.4566,
CG34191,NaN,2.597,1.7199,2.1759,
,NaN,2.5976,1.7292,1.8865,
GstE7,NaN,2.6043,2.1871,3.8814,
mRpS9,NaN,2.6114,1.3777,1.5055,
Tor,NaN,2.9423,0.48186,0.35252,
mRpL40,NaN,3.2731,2.2129,2.8963,
,NaN,3.7108,5.9381,3.9966,
,1.93,4.1515,NaN,1.8228,
CalpB,NaN,4.8057,0.75163,0.89874,
,NaN,6.0658,7.4475,5.2279,
Hsp67Bc,NaN,7.3337,3.7884,8.0395,
Obp83b,NaN,7.5233,3.1287,3.4376,
,NaN,8.7083,3.4652,1.3117,
CG12896-RA,NaN,9.4959,6.0877,6.5833,
,NaN,20.466,NaN,3.3512,
MESR6,NaN,0.080067,NaN,NaN,
,NaN,0.18303,NaN,NaN,
skpB,NaN,0.19817,0.77906,NaN,
Cp36,NaN,0.23715,NaN,NaN,
,NaN,0.24137,NaN,NaN,
Spn88Eb,0.46004,0.2619,NaN,NaN,
smid,0.22452,0.26273,NaN,NaN,
,0.27207,0.26858,NaN,NaN,
,1.047,0.28031,NaN,NaN,
CG13759-RA,NaN,0.28396,NaN,NaN,
,NaN,0.28493,NaN,NaN,
,0.12116,0.29379,NaN,NaN,
Nc73EF,0.37219,0.30331,NaN,NaN,
Nup93-1,0.49735,0.31158,NaN,NaN,
CG31534-RB,NaN,0.31849,NaN,NaN,
CG17544-RA,NaN,0.32676,NaN,NaN,
Cyp6a17,0.36939,0.33931,NaN,NaN,
sec8,NaN,0.35075,NaN,NaN,
GluClalpha,0.29394,0.35502,NaN,NaN,
Ppat-Dpck,NaN,0.37034,0.28421,NaN,
CG1598,0.97265,0.37869,NaN,NaN,
Pak3,NaN,0.37962,NaN,NaN,
ABCB7,0.32462,0.39362,NaN,NaN,
O-fut1,NaN,0.39632,NaN,NaN,
sec24,NaN,0.40224,NaN,NaN,
CanA-14F,NaN,0.40403,NaN,NaN,
,0.43641,0.42351,NaN,NaN,
zetaCOP,NaN,0.44703,NaN,NaN,
Cg25C,0.51544,0.45865,NaN,NaN,
CG30185;Gr59f,NaN,0.46893,NaN,NaN,
RanGap,NaN,0.47731,NaN,NaN,
Ac76E,NaN,0.4858,NaN,NaN,
TotM,0.65819,0.50869,NaN,NaN,
CG11583,0.53387,0.50965,NaN,NaN,
,NaN,0.51042,NaN,NaN,
Pi4KIIalpha,NaN,0.514,NaN,NaN,
uif,1.3195,0.52561,NaN,NaN,
CG6136,NaN,0.53295,NaN,NaN,
CG4538-RA,0.86759,0.53557,NaN,NaN,
CG42486-RA,0.50253,0.53886,NaN,NaN,
Jheh3,NaN,0.54785,0.57382,NaN,
GS,NaN,0.55531,NaN,NaN,
,NaN,0.56333,NaN,NaN,
RhoGAP100F,0.3815,0.61759,NaN,NaN,
HtrA2,0.57156,0.6272,NaN,NaN,
,NaN,0.63092,NaN,NaN,
CG15187,0.89141,0.63469,NaN,NaN,
,NaN,0.69973,NaN,NaN,
CG15617-RA,NaN,0.74767,NaN,NaN,
Moca-cyp,NaN,0.76882,NaN,NaN,
Patronin;ssp4,NaN,0.77522,NaN,NaN,
CG17837,0.35542,0.78027,NaN,NaN,
Ras64B,0.66104,0.80731,NaN,NaN,
AP-1mu,NaN,0.83053,0.57807,NaN,
,NaN,0.85696,0.7795,NaN,
,NaN,0.88532,NaN,NaN,
,0.68318,0.89725,NaN,NaN,
,0.56071,0.90439,NaN,NaN,
l(2)35Bg,0.88367,0.9134,NaN,NaN,
usnp,0.82383,0.93449,NaN,NaN,
aru,NaN,0.93832,NaN,NaN,
Dcp1,NaN,0.93909,NaN,NaN,
TwdlBeta,NaN,0.94713,NaN,NaN,
RIC-3,2.0118,0.97417,NaN,NaN,
sgl,NaN,0.98091,NaN,NaN,
,0.79545,0.99313,NaN,NaN,
Srp14,1.0965,1.0807,NaN,NaN,
Rox8,NaN,1.0901,NaN,NaN,
,NaN,1.1255,NaN,NaN,
slik,NaN,1.1594,NaN,NaN,
Gos28,NaN,1.2257,NaN,NaN,
PPP4R2r,NaN,1.2392,NaN,NaN,
dally,NaN,1.2483,0.98282,NaN,
CG33506-RA,NaN,1.2643,1.1734,NaN,
nero,NaN,1.2751,NaN,NaN,
nrm,NaN,1.2819,1.2911,NaN,
,NaN,1.3612,NaN,NaN,
Ccp84Ag,NaN,1.4364,NaN,NaN,
mRpL46,NaN,1.4504,1.3371,NaN,
,NaN,1.5597,1.0158,NaN,
mRpL50,NaN,1.5649,NaN,NaN,
,NaN,1.5688,NaN,NaN,
Obp57a,NaN,1.5788,NaN,NaN,
mrj,NaN,1.6012,NaN,NaN,
CG5532,1.7387,1.6036,NaN,NaN,
,NaN,1.6924,1.2509,NaN,
,NaN,1.7038,1.3722,NaN,
,1.5831,1.7374,NaN,NaN,
atilla,NaN,1.745,1.7907,NaN,
beat-VII,NaN,1.807,1.8351,NaN,
,0.9668,1.8217,NaN,NaN,
l(3)neo43,NaN,1.8308,NaN,NaN,
,NaN,1.8818,NaN,NaN,
RpII215,NaN,1.8902,NaN,NaN,
CG42487-RA,NaN,1.9211,NaN,NaN,
RpS29,NaN,1.945,2.525,NaN,
Rsf1,NaN,1.9584,NaN,NaN,
Ect3,NaN,2.0159,NaN,NaN,
,NaN,2.0463,NaN,NaN,
,2.2024,2.2418,NaN,NaN,
RnpS1,1.6783,2.3223,NaN,NaN,
mRpL28,NaN,2.4426,NaN,NaN,
CG10635,NaN,2.61,NaN,NaN,
Sh,1.5115,3.3986,NaN,NaN,
,NaN,3.6153,NaN,NaN,
CG7280,NaN,4.8996,NaN,NaN,
Prosbeta1,NaN,NaN,NaN,NaN,
yrt,NaN,NaN,NaN,NaN,
CG34242-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Nup75,NaN,NaN,NaN,NaN,
spz,NaN,NaN,NaN,NaN,
laccase2,NaN,NaN,NaN,NaN,
CG17508-RA,NaN,NaN,0.80304,0.87145,
,NaN,NaN,NaN,NaN,
CG8245-RA,NaN,NaN,NaN,NaN,
vlc,NaN,NaN,NaN,NaN,
Hsepi,NaN,NaN,NaN,NaN,
CG3270-RA,NaN,NaN,0.51651,NaN,
l(2)01289,NaN,NaN,NaN,NaN,
Eb1,NaN,NaN,NaN,0.96458,
koi,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG1383,NaN,NaN,NaN,NaN,
cn,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG8726-RB,NaN,NaN,NaN,NaN,
Asap1,NaN,NaN,NaN,NaN,
Mal-A6,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG8586-RA,NaN,NaN,0.19946,0.72298,
sec31,NaN,NaN,NaN,0.29072,
CG8243-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ance-4,NaN,NaN,NaN,NaN,
Pmm45A,0.50153,NaN,NaN,0.28998,
Su(var)2-10,NaN,NaN,NaN,NaN,
Hydr1,NaN,NaN,NaN,0.33786,
alc,NaN,NaN,0.7932,NaN,
Rme-8,NaN,NaN,0.44197,1.2702,
,NaN,NaN,NaN,NaN,
Pkn,NaN,NaN,NaN,NaN,
GstT2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Ccs,NaN,NaN,NaN,NaN,
CAP,NaN,NaN,NaN,NaN,
CG12895,NaN,NaN,NaN,NaN,
nclb,NaN,NaN,NaN,NaN,
CG18004-RB;CG18004-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
rho-7,NaN,NaN,NaN,NaN,
Mppe,NaN,NaN,NaN,NaN,
Prp8,NaN,NaN,NaN,NaN,
RpS11,NaN,NaN,NaN,NaN,
garz,NaN,NaN,NaN,NaN,
Cpr49Ag,NaN,NaN,NaN,NaN,
Dyb,NaN,NaN,NaN,NaN,
CG8545-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG4646,2.3516,NaN,NaN,NaN,
CG4679,NaN,NaN,0.46767,NaN,
CG10799-RA,NaN,NaN,NaN,NaN,
mip120,NaN,NaN,NaN,0.54142,
mRpL53,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Prosap,NaN,NaN,NaN,NaN,
cg,NaN,NaN,NaN,NaN,
BcDNA.GH03482;CG10249-RD,NaN,NaN,NaN,NaN,
Khc-73,NaN,NaN,NaN,NaN,
eIF2B-gamma,NaN,NaN,NaN,NaN,
CG8192-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Jhedup,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
clu,NaN,NaN,0.2279,0.24124,
Sema-2b,NaN,NaN,NaN,NaN,
Syn2,NaN,NaN,0.23084,NaN,
CG8303,NaN,NaN,NaN,NaN,
Ehbp1,NaN,NaN,NaN,NaN,
RhoGEF2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
l(2)k01209,NaN,NaN,NaN,NaN,
CG4853-RA,NaN,NaN,NaN,NaN,
Dcr-2,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG4975-RB;CG4984-RC,NaN,NaN,NaN,NaN,
,NaN,NaN,0.17186,0.23628,
,NaN,NaN,NaN,NaN,
Muc55B,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
GstE8,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,0.51281,
mRpS28,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG15099,NaN,NaN,NaN,NaN,
CG15111-RB,NaN,NaN,NaN,NaN,
hppy,NaN,NaN,NaN,NaN,
par-1,NaN,NaN,NaN,NaN,
par-1,NaN,NaN,NaN,NaN,
par-1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG17041,NaN,NaN,NaN,NaN,
CG4495,NaN,NaN,NaN,NaN,
Galpha49B;Galphaq,NaN,NaN,NaN,NaN,
Slob,NaN,NaN,NaN,NaN,
CG6043-RH,NaN,NaN,NaN,NaN,
Syx5,NaN,NaN,1.9404,2.0251,
,NaN,NaN,0.54583,0.68474,
orb2,NaN,NaN,NaN,NaN,
bol,NaN,NaN,NaN,NaN,
Trl,NaN,NaN,NaN,NaN,
Ama,NaN,NaN,NaN,NaN,
Timp,NaN,NaN,NaN,NaN,
CtBP,NaN,NaN,NaN,NaN,
Syp,NaN,NaN,NaN,NaN,
Rb97D,NaN,NaN,NaN,NaN,
Hrb98DE,NaN,NaN,NaN,NaN,
CG7816,NaN,NaN,NaN,NaN,
CG3774;Efr,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Klp10A,NaN,NaN,NaN,NaN,
ari-1,NaN,NaN,NaN,NaN,
car,NaN,NaN,NaN,NaN,
CG10187,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Not1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG5544,NaN,NaN,NaN,0.44262,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Vrp1,NaN,NaN,NaN,NaN,
Cda5,NaN,NaN,NaN,NaN,
CG7337-RB;CG7337-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG34310-RA,NaN,NaN,NaN,NaN,
,0.38435,NaN,NaN,0.33412,
Lar,NaN,NaN,NaN,NaN,
RtGEF,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG34039-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
enc,NaN,NaN,NaN,NaN,
Cip4,NaN,NaN,NaN,NaN,
sif,NaN,NaN,NaN,NaN,
Ect4,NaN,NaN,NaN,NaN,
GAPcenA,NaN,NaN,NaN,NaN,
Argk,NaN,NaN,NaN,NaN,
,NaN,NaN,2.3487,NaN,
,NaN,NaN,NaN,NaN,
CG12355-RA,NaN,NaN,NaN,NaN,
l(3)72Do,NaN,NaN,0.98528,0.89966,
Abl,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Shal,0.25189,NaN,NaN,NaN,
Ten-m,NaN,NaN,NaN,NaN,
ArfGAP3,NaN,NaN,0.74253,0.54242,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
pyd,NaN,NaN,NaN,NaN,
,0.43316,NaN,NaN,0.39704,
Dh44,NaN,NaN,NaN,1.1473,
Pnn,NaN,NaN,NaN,NaN,
cu,NaN,NaN,NaN,NaN,
NijC,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
btsz,NaN,NaN,NaN,NaN,
,NaN,NaN,0.48317,0.54926,
Efa6,NaN,NaN,NaN,NaN,
Pli,NaN,NaN,NaN,NaN,
CG6422-RB,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CHKov1,NaN,NaN,NaN,NaN,
LpR1,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
sda,NaN,NaN,NaN,NaN,
woc,NaN,NaN,0.76795,NaN,
Hayan,NaN,NaN,NaN,NaN,
Sec16,NaN,NaN,NaN,NaN,
Rnp4F,NaN,NaN,NaN,NaN,
CG14445-RB,NaN,NaN,0.319,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Nup153,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG40498-RF,NaN,NaN,1.0548,1.0738,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Gfat1,NaN,NaN,NaN,NaN,
how,NaN,NaN,NaN,NaN,
Sfp87B,NaN,NaN,NaN,NaN,
CG9801;CG9801-RA,NaN,NaN,NaN,NaN,
CG8909-RB,NaN,NaN,NaN,NaN,
metro,NaN,NaN,NaN,NaN,
mbl,NaN,NaN,NaN,NaN,
Jabba,NaN,NaN,0.64942,NaN,
tn,NaN,NaN,NaN,NaN,
CG30387,NaN,NaN,NaN,NaN,
Sdc,NaN,NaN,NaN,NaN,
CG9865-RA,NaN,NaN,NaN,2.3886,
CG9865-RA,NaN,NaN,NaN,NaN,
St3,NaN,NaN,NaN,0.61324,
Nurf-38,NaN,NaN,NaN,NaN,
Fis1,NaN,NaN,NaN,NaN,
CG8740-RB,NaN,NaN,NaN,NaN,
CG31869-RB,NaN,NaN,NaN,NaN,
Su(dx),NaN,NaN,NaN,NaN,
CG42371-RA,NaN,NaN,NaN,NaN,
Rrp1,NaN,NaN,NaN,NaN,
kis,NaN,NaN,NaN,NaN,
drongo,NaN,NaN,NaN,NaN,
pgant4,NaN,NaN,NaN,NaN,
fred,NaN,NaN,NaN,NaN,
PDZ-GEF,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
RhoGAP71E,NaN,NaN,NaN,NaN,
Nedd4,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
mus312-RD,NaN,NaN,1.2159,1.5025,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
nudE,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
cher,NaN,NaN,NaN,NaN,
CG6364,NaN,NaN,NaN,NaN,
Lerp,NaN,NaN,NaN,NaN,
spg,NaN,NaN,NaN,NaN,
mtd,NaN,NaN,NaN,NaN,
MTA1-like,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Pak,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
rg,NaN,NaN,NaN,NaN,
CG42323-RC,NaN,NaN,NaN,NaN,
tlk,NaN,NaN,NaN,NaN,
CG4928,NaN,NaN,NaN,0.39379,
nemy,NaN,NaN,NaN,NaN,
Sclp,NaN,NaN,NaN,NaN,
Sfp96F,NaN,NaN,NaN,NaN,
Evi5;CG11727,NaN,NaN,NaN,NaN,
Eph,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,NaN,NaN,
CaMKII,NaN,NaN,NaN,NaN,
ssh,NaN,NaN,NaN,NaN,
stau,NaN,NaN,NaN,NaN,
lolal,NaN,NaN,0.88141,0.98249,
,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Tim10-RA,NaN,NaN,NaN,NaN,
G-salpha60A;Galphas,NaN,NaN,NaN,NaN,
l(2)01289,NaN,NaN,NaN,NaN,
CSN4,NaN,NaN,0.72466,0.60287,
Mlf,NaN,NaN,NaN,NaN,
Kr-h2,NaN,NaN,NaN,NaN,
Piezo,NaN,NaN,NaN,0.4174,
GlcAT-S,NaN,NaN,NaN,NaN,
yuri,NaN,NaN,NaN,NaN,
Dif,NaN,NaN,NaN,NaN,
CG14397-RA,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG2131,NaN,NaN,NaN,NaN,
galectin,NaN,NaN,NaN,0.47355,
E(bx),NaN,NaN,NaN,NaN,
CG7611,NaN,NaN,NaN,NaN,
Pop2,NaN,NaN,NaN,NaN,
pHCl,NaN,NaN,NaN,NaN,
Dscam2,NaN,NaN,NaN,NaN,
Snmp2,NaN,NaN,NaN,NaN,
syd,NaN,NaN,1.1881,0.49501,
Zasp66,NaN,NaN,NaN,NaN,
CG5021,NaN,NaN,NaN,NaN,
TfIIEbeta,NaN,NaN,NaN,NaN,
mp,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Octbeta2R,NaN,NaN,NaN,NaN,
Su(var)3-7,NaN,NaN,NaN,NaN,
mRpS10,NaN,NaN,NaN,0.4419,
msps,NaN,NaN,NaN,NaN,
Pxd,NaN,NaN,NaN,NaN,
osa,NaN,NaN,NaN,NaN,
CG7956-RA,NaN,NaN,0.54976,0.7082,
Irk2,NaN,NaN,NaN,NaN,
nct,NaN,NaN,NaN,NaN,
CG4673;Npl4,NaN,NaN,0.42837,0.36169,
tmod,NaN,NaN,NaN,NaN,
CG31004;mesh,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
CG1307,NaN,NaN,NaN,NaN,
PsGEF,NaN,NaN,NaN,NaN,
tyf,NaN,NaN,1.304,1.325,
rb,NaN,NaN,NaN,NaN,
Cp38,NaN,NaN,NaN,NaN,
fs(1)h,NaN,NaN,NaN,NaN,
Imp,NaN,NaN,NaN,NaN,
gfA,NaN,NaN,NaN,NaN,
CG17065,NaN,NaN,NaN,NaN,
GstT3,NaN,NaN,NaN,0.31715,
Tango11,NaN,NaN,NaN,NaN,
milt,NaN,NaN,NaN,NaN,
tho2,NaN,NaN,NaN,NaN,
CG43427,NaN,NaN,NaN,NaN,
CG1129,NaN,NaN,0.54759,NaN,
CG2982,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,
Cbp80,NaN,NaN,0.35074,NaN,
Ice,NaN,NaN,NaN,NaN,
Aats-phe,NaN,NaN,NaN,NaN,
Peritrophin-A,NaN,NaN,NaN,NaN,
Fs(2)Ket,NaN,NaN,NaN,0.25176,
