Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
shot,NaN,NaN,0.21691,0.16149,NaN,NaN,0.40375,NaN,0.9665,0.44284,NaN,NaN,0.33396,0.2885,NaN,0.43157
mdy,0.30333,0.42958,0.35439,0.51723,0.29735,0.20575,0.35563,0.31164,0.34778,0.39045,0.30822,0.36665,0.37235,0.2887,NaN,0.38803
Rbp,NaN,0.29389,1.0277,NaN,0.9685,0.66435,0.99541,0.59453,0.36184,0.38636,NaN,0.31855,NaN,0.29447,0.34716,0.32171
Mnn1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93572,NaN,NaN,1.2705,NaN,1.5804,0.30278,NaN,0.55955
,0.32328,0.34746,0.22832,0.69088,0.23584,0.24397,NaN,0.42539,0.39797,NaN,0.60292,0.35368,0.34581,0.31821,NaN,0.49486
,0.22724,0.31105,NaN,0.30319,0.3152,0.2457,0.38798,0.3734,0.34428,NaN,0.38509,0.32626,NaN,0.31873,0.41302,0.32784
CG14757,NaN,NaN,1.1283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23393,0.32814,NaN,0.54726
,0.73565,2.4687,NaN,NaN,1.4551,1.2778,0.83276,1.3944,NaN,0.87377,1.0768,1.3239,NaN,0.34934,1.1718,1.2268
Srp72,0.21415,0.43257,0.357,0.18819,0.26518,0.31182,0.43964,0.47622,0.26213,0.30612,0.31779,0.32939,NaN,0.35693,0.47872,0.50406
pix,0.29769,0.99611,0.23315,0.14215,0.19119,0.63112,0.3906,0.31133,0.38256,0.38301,NaN,0.49162,NaN,0.36076,NaN,0.43634
Cyp12c1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167,NaN,0.3381,NaN,0.26569,0.36501,NaN,0.24594
RabX4,NaN,NaN,NaN,NaN,NaN,0.46792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37059,NaN,0.42269
Spn55B,NaN,1.0576,NaN,0.98668,0.75899,0.5825,0.72466,0.698,0.75266,0.91979,0.49145,0.48984,NaN,0.37398,0.38566,0.34867
Hmgs,0.36182,0.40518,0.39574,0.47724,0.38701,0.37123,0.43048,0.50633,0.4003,0.50564,0.49475,0.4768,NaN,0.38804,0.63374,0.60201
Lpin,0.75571,0.32721,0.26832,0.47285,0.78989,0.38241,NaN,0.42407,NaN,0.30422,0.35845,0.48248,NaN,0.39183,NaN,0.27338
,0.36397,0.45308,0.95011,NaN,NaN,NaN,0.46169,NaN,0.46032,0.32854,1.503,0.70738,0.34284,0.39201,NaN,0.52902
,0.60433,0.77303,11.841,0.79959,NaN,NaN,0.72657,0.66274,0.81989,0.50113,0.98464,0.7207,NaN,0.39662,0.53111,0.84179
RagC-D,NaN,0.7243,NaN,0.36547,0.71043,0.73451,0.80228,0.84023,0.53237,NaN,0.6619,NaN,NaN,0.41381,0.74385,0.56367
crb,NaN,NaN,0.43513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42202,0.5878,0.44171
CG1311,NaN,0.77008,NaN,0.42023,0.6344,0.54686,0.61801,1.3753,0.67829,NaN,0.53465,0.58153,NaN,0.43054,NaN,0.45904
CkIalpha,0.46556,0.39982,0.72018,0.38933,0.69706,0.54385,NaN,0.53325,NaN,0.62845,0.43651,0.68477,0.51096,0.44089,NaN,0.57893
Spt5,0.26705,0.68532,0.33608,NaN,0.2221,0.2742,NaN,0.39533,NaN,NaN,NaN,NaN,0.29227,0.44769,NaN,0.36247
ApepP,0.24816,0.30039,0.26699,0.1895,0.41174,0.23489,0.47216,0.36743,0.61384,0.47287,0.40721,0.39881,NaN,0.45206,0.68477,0.39315
P5cr,0.47191,0.4512,0.44229,0.40946,0.54195,0.45282,0.50725,0.39702,0.34517,0.45506,0.53255,0.38222,NaN,0.46714,0.49843,0.36537
CG18501,1.1354,1.4851,NaN,NaN,NaN,1.1647,0.65801,0.57381,0.56953,0.66901,0.58662,0.58461,NaN,0.46735,0.68171,0.49731
Naam,0.70889,NaN,0.6198,0.6401,0.49203,NaN,0.59812,0.69563,0.33805,0.50063,2.5089,0.58502,NaN,0.47645,1.0862,0.65908
CG10915,0.54846,0.40103,0.62678,NaN,1.0096,0.34505,1.0596,0.56979,0.58454,1.2786,0.49014,0.66483,NaN,0.47949,0.56746,0.52116
Nup54,NaN,0.41154,0.78776,0.46438,0.4152,NaN,0.63886,0.6084,0.37576,0.64656,NaN,NaN,0.36988,0.48345,NaN,0.46233
CG3800,0.16701,0.17902,0.35446,0.18567,1.0819,NaN,0.43091,NaN,NaN,0.62123,NaN,0.62679,NaN,0.49261,NaN,0.39395
Pdp,1.2158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.66775,1.0083,0.56033,NaN,NaN,0.50371,NaN,0.89484
CG7441-RA,0.50837,0.53339,0.52777,NaN,0.76488,0.79845,NaN,NaN,NaN,0.71393,0.57172,0.76898,0.47717,0.50542,NaN,0.77242
Hml,0.31591,0.47131,0.18747,0.1529,0.32593,0.32237,0.37983,NaN,NaN,0.28975,NaN,0.47058,NaN,0.50752,0.35862,0.39933
U2af50,0.41298,0.44408,NaN,0.48338,0.40906,0.3449,0.7541,0.58457,0.56806,0.61649,0.53076,0.78519,NaN,0.50873,0.77927,0.47192
amon,0.63945,0.7798,0.75194,NaN,NaN,0.71787,0.40445,0.56068,NaN,NaN,0.42644,NaN,0.90172,0.51086,NaN,0.86689
Sec61alpha,0.33477,NaN,0.33782,NaN,NaN,0.22767,NaN,NaN,NaN,0.44596,NaN,0.44966,NaN,0.51783,NaN,0.4006
Mulk,0.27747,0.38469,0.34233,0.56635,0.28571,0.42462,0.60614,0.40928,0.51411,0.53676,0.39411,0.50387,NaN,0.52019,0.49103,0.4849
CHORD,0.32054,0.34476,NaN,NaN,0.24569,0.3153,0.87966,NaN,0.73392,NaN,NaN,0.72161,NaN,0.53816,NaN,0.5564
,0.56569,0.45746,NaN,NaN,0.88765,0.44255,NaN,0.49858,NaN,0.57126,NaN,NaN,NaN,0.53877,0.37876,0.47427
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.53956,NaN,0.59343
,0.44142,NaN,0.50937,0.51438,NaN,0.99355,0.6151,0.48146,0.65649,0.6839,0.49083,0.99359,NaN,0.54317,0.46339,0.49296
torp4a,0.53512,0.60481,0.30641,0.40196,0.50465,0.70755,NaN,0.90461,NaN,NaN,0.70263,0.74418,NaN,0.54596,0.86905,0.8171
rogdi,NaN,NaN,0.60044,NaN,NaN,NaN,0.61046,NaN,0.64427,0.64236,0.56029,0.58253,NaN,0.54607,0.47744,0.44941
CG12321-RA,0.35114,0.59118,0.48525,0.39036,0.6783,0.47077,0.89647,NaN,0.70549,0.47344,0.72396,0.63653,NaN,0.54784,0.59886,0.75222
Drs;Drsl5,NaN,NaN,3.3724,NaN,NaN,NaN,0.73728,NaN,0.48467,0.4082,NaN,0.67232,NaN,0.54902,NaN,0.51807
Psi,0.39893,0.27094,0.32382,0.35894,0.45882,0.36963,0.64794,NaN,0.53703,0.44566,0.63391,0.86826,NaN,0.56317,0.53432,0.8923
Myo31DF,0.50412,0.23736,0.14925,0.29894,0.2731,0.19584,0.44332,0.26515,0.32053,0.35867,0.33199,0.77261,NaN,0.56518,NaN,0.23616
,1.0192,0.49162,NaN,NaN,0.72089,0.62867,0.68642,0.64222,NaN,0.57796,0.56497,0.40718,0.30003,0.56664,NaN,0.3908
bel,0.23131,0.30863,0.36329,0.23184,0.40879,0.25845,0.49561,0.55371,0.75257,0.47533,0.4977,0.59677,NaN,0.57342,0.47389,0.86279
,0.75947,0.65368,0.71304,0.68507,0.60385,0.75768,0.84224,0.86177,0.7299,NaN,1.0649,NaN,NaN,0.57498,1.157,0.80013
eas,0.38044,0.45274,0.46065,0.5024,0.51728,0.53283,0.56751,0.32157,0.46174,0.72882,0.41433,0.55556,NaN,0.57897,0.49783,0.63932
SelR,0.75164,NaN,0.75834,NaN,0.65138,NaN,0.64126,NaN,0.76942,0.66738,0.71829,0.67455,NaN,0.58253,NaN,0.62232
JhI-26,NaN,0.78567,NaN,NaN,NaN,NaN,0.54258,NaN,0.54265,NaN,0.88706,1.2219,0.49418,0.58992,NaN,0.66266
EG:100G10.7,0.69593,1.6434,0.97648,0.79325,0.77397,0.89947,0.75059,0.7934,0.75611,1.3434,0.73174,0.78807,NaN,0.59434,1.0992,0.86488
Gtp-bp,0.27098,0.4059,0.35685,0.59654,0.38735,0.33818,0.86059,0.59142,0.6572,0.81967,0.67205,0.69094,0.62109,0.59522,NaN,0.79691
,0.41893,0.43048,0.49721,0.76157,0.6626,0.5123,0.60014,0.70964,0.68914,0.87545,0.6909,0.73556,NaN,0.6108,0.46174,0.76208
CG13601,NaN,1.2845,NaN,NaN,NaN,NaN,NaN,0.84023,0.71084,0.76641,NaN,0.67104,0.46478,0.61246,NaN,0.67919
Bap55,0.52962,0.59173,0.45235,0.66362,0.53197,0.47466,0.70187,NaN,0.7533,0.81393,0.66037,0.92789,NaN,0.61715,0.49888,0.7633
wuho,0.33773,NaN,NaN,NaN,NaN,NaN,0.44616,NaN,0.40491,NaN,NaN,NaN,NaN,0.61946,0.36533,0.50802
bsk,0.70639,0.57625,0.5995,1.269,0.55039,0.59474,0.76905,0.61463,1.9047,0.94594,0.73771,0.71436,NaN,0.62168,0.80218,0.7044
Rap2l,0.58662,0.48823,0.93337,NaN,0.53329,0.74448,0.88484,0.76859,0.74304,0.68753,NaN,NaN,NaN,0.64092,0.70992,0.66255
CG10306,0.5796,0.38954,0.41854,NaN,0.38813,0.45042,0.48246,0.92183,0.6916,1.0413,0.33321,0.31816,NaN,0.64325,0.98892,0.48766
Aats-gln,0.33791,0.3042,0.21358,0.75016,0.30447,0.18629,0.29243,0.28335,0.44455,0.51156,0.50222,0.82106,NaN,0.64667,0.93895,0.37131
Dsk,NaN,3.3746,NaN,NaN,NaN,NaN,1.1297,NaN,0.97846,NaN,0.85677,NaN,NaN,0.65888,NaN,0.42471
,1.6548,0.16149,0.34495,0.88068,0.23563,0.29611,0.50819,NaN,NaN,0.64897,NaN,NaN,NaN,0.66043,1.0087,0.31239
,0.25827,0.41315,0.47108,0.46471,0.25126,0.2984,0.41669,0.30045,NaN,0.63315,NaN,0.45543,NaN,0.66615,0.43683,0.36685
Sodh-2,0.53328,0.67486,0.66837,NaN,0.69647,0.53298,0.67609,0.64236,0.57077,0.71542,0.47283,0.56576,NaN,0.67077,0.54807,0.46318
Pdcd4,0.39519,0.45017,0.58701,0.37604,0.34207,0.34304,0.54616,0.52939,0.51123,NaN,0.59581,0.69806,NaN,0.68395,0.48281,0.55863
anon-35F/36A,0.83236,0.7596,0.84185,0.66045,1.8467,NaN,NaN,NaN,0.91825,1.1273,0.87027,NaN,0.66364,0.68631,NaN,0.70733
svr,0.87514,0.76784,NaN,0.9147,NaN,1.0211,0.84307,0.79224,0.92513,NaN,NaN,0.72774,NaN,0.6881,0.73426,0.68191
CG16912,0.91342,0.86165,0.89673,NaN,NaN,0.56797,1.0047,NaN,0.6128,0.80619,NaN,NaN,0.72055,0.68842,NaN,0.80019
Mtl,NaN,0.66114,NaN,0.64901,0.71207,0.63558,NaN,0.72641,NaN,0.94804,0.73322,0.84811,NaN,0.69319,NaN,0.92154
,0.6497,0.92751,0.70463,0.8863,0.7763,0.74006,0.93385,0.88948,0.91993,0.95941,1.0945,1.0801,NaN,0.70261,0.74277,0.79303
Idgf1,NaN,1.2824,NaN,1.1291,0.98652,0.95657,1.0116,1.2515,1.0814,1.4344,0.94414,0.92203,NaN,0.70385,0.4553,1.1182
twf,0.57649,0.43493,0.39734,0.4005,0.62731,0.50314,1.1554,0.65996,0.63922,0.61746,0.70936,0.51473,NaN,0.70889,0.5823,0.93991
CkIIbeta,1.691,NaN,NaN,0.7267,0.70932,0.65272,1.2206,0.96215,0.83182,1.1427,0.86196,0.83023,NaN,0.71624,0.70649,1.1505
,0.92396,0.79126,0.94433,0.70458,0.57601,3.2315,0.83136,0.92813,1.9237,NaN,0.64847,0.89254,0.63332,0.71715,NaN,1.642
RanBP3,0.42109,0.38182,0.41179,0.45394,0.30128,0.46642,0.64536,NaN,0.64349,0.52547,NaN,0.8392,NaN,0.71771,0.70844,0.64054
CadN,0.70839,0.5752,0.7198,1.0437,0.61913,0.54565,1.2923,1.0313,1.0772,0.92936,0.97731,1.0054,NaN,0.72816,0.9576,0.7745
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29784,0.3414,NaN,NaN,0.61691,0.74689,NaN,0.31201
,0.47858,0.38779,0.60088,0.41644,0.60581,0.48342,0.45976,0.29658,0.45131,0.48072,0.49769,0.69945,NaN,0.76998,0.61885,0.74753
Ucp4A,NaN,NaN,NaN,NaN,NaN,NaN,0.58016,0.83563,NaN,NaN,0.75107,0.8011,0.69649,0.77876,NaN,0.82295
Rpd3,0.32684,0.85237,0.43216,0.57326,0.35484,0.51583,0.73158,NaN,0.71487,0.90747,1.0792,NaN,NaN,0.78267,NaN,0.79428
UbcD4,0.37857,0.30836,0.5973,0.44489,0.35416,0.37144,0.63099,0.53263,0.50489,0.60389,0.62709,0.64904,NaN,0.78585,0.52875,0.65284
CSN5,0.33383,0.3908,0.33199,0.35113,0.50046,0.61158,0.50693,0.51159,0.48207,0.6336,0.59602,0.39424,NaN,0.79789,0.63223,0.7365
,1.5917,1.7997,1.4731,NaN,2.0788,1.5664,0.70345,0.66614,0.58538,0.60084,0.61901,0.70188,NaN,0.80004,0.68661,0.73879
Rab8,0.94551,0.9835,0.88141,1.0437,1.1229,0.87206,1.012,0.97132,0.97572,1.0154,0.85128,0.94758,NaN,0.82924,0.88283,1.0867
Gs1l,2.4149,2.1406,NaN,1.8588,1.9479,1.8918,1.1553,0.97769,0.93894,1.1416,1.0624,1.0875,NaN,0.83579,1.0599,0.94708
RpL23,0.22831,0.25692,0.30466,0.30749,0.35004,0.38024,0.71933,0.68502,0.78457,0.5636,0.90605,0.54432,NaN,0.83969,0.97927,0.99816
Irc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6238,NaN,NaN,NaN,NaN,0.34011,0.87369,NaN,0.6995
,1.6153,1.6163,1.526,1.4777,1.6756,1.3307,1.2511,1.6577,1.4099,1.7264,1.25,1.0965,NaN,0.88227,1.2045,1.2017
Sac1,0.29725,0.30061,0.47036,NaN,0.49242,0.63353,0.56654,0.36666,0.39336,0.41006,0.3438,0.28675,NaN,0.88718,0.31119,0.25542
Paf-AHalpha,0.55022,0.68035,0.60595,0.43005,0.51189,0.53934,0.87027,NaN,0.97278,0.91599,0.92921,0.83431,NaN,0.88829,NaN,1.1551
,1.9159,0.53682,0.84296,0.37113,0.49337,0.55782,0.78291,0.78105,0.88283,0.70803,0.88942,0.55902,NaN,0.88917,0.86683,0.88505
GstD2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.89594,NaN,0.85279
Ppt1,0.73664,0.50208,0.84194,0.71585,0.85341,NaN,1.0682,NaN,1.1521,NaN,NaN,NaN,0.84339,0.89694,NaN,0.5684
Sgt1,0.61242,0.52273,0.81607,NaN,0.63296,0.5552,0.74003,NaN,NaN,NaN,1.0148,0.80442,0.72708,0.94809,NaN,0.78487
Arpc3A,0.66055,NaN,0.61466,0.61934,0.50254,0.5468,0.92052,NaN,0.82979,0.95399,2.5871,0.90684,NaN,0.95466,0.94969,1.1491
Cpr60D,NaN,6.0416,NaN,NaN,NaN,NaN,1.6114,2.467,NaN,1.5407,1.2073,1.2038,0.90256,0.95487,NaN,0.8289
parvin,0.69099,0.62914,0.97245,1.1694,NaN,0.60893,1.0422,0.86744,NaN,0.87218,0.61017,0.7374,0.95675,0.9782,NaN,0.81278
larp,1.0104,0.93864,0.44758,0.65199,NaN,0.48167,0.71971,NaN,0.62628,1.6952,0.66886,0.68186,0.87709,0.9805,NaN,1.4428
Irp-1A,0.38092,0.43775,0.2492,0.62345,0.18367,0.30671,NaN,0.29189,NaN,NaN,0.27749,0.25416,NaN,0.9922,3.1181,0.45745
,0.92304,NaN,NaN,NaN,0.90263,0.74626,1.0493,1.1021,1.011,NaN,NaN,1.1941,0.77785,1.0093,NaN,0.85556
Hmu,0.48146,0.57353,0.72019,0.53072,0.97736,0.60777,1.1311,0.67788,1.0469,NaN,1.0765,1.1654,NaN,1.0136,0.73045,0.70777
CG4603,0.50055,0.5695,0.58951,0.56077,1.1866,0.49667,0.59168,0.90211,0.61767,1.0082,NaN,NaN,NaN,1.0149,1.0585,1.4033
,0.97634,1.2177,0.90276,NaN,NaN,0.7467,1.088,1.8184,0.88984,1.1468,NaN,0.8771,NaN,1.0382,0.72305,0.83836
scramb2,0.72515,NaN,0.72034,0.5235,NaN,1.0073,NaN,0.88388,0.90686,0.85366,2.2492,NaN,NaN,1.064,0.7895,0.80202
Mgstl,1.2715,1.1981,NaN,NaN,1.2161,1.0601,1.289,1.0719,NaN,0.80466,0.97836,1.0482,NaN,1.0788,0.88473,0.78984
CG2061,0.27783,0.72695,NaN,NaN,NaN,0.44912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0811,NaN,0.95053
,0.869,0.92707,0.66248,1.738,0.92704,0.70656,0.81821,0.84127,0.72126,1.064,0.92535,0.76637,0.76291,1.1036,NaN,0.72637
mRpS7,0.44102,0.27426,0.60887,0.17761,0.35684,0.35929,0.48948,0.70581,NaN,1.0366,0.52537,0.65056,NaN,1.1129,2.0451,1.0195
inaF-B,1.069,1.1406,NaN,1.422,1.1051,1.0742,1.546,1.0333,0.89398,NaN,0.86015,NaN,NaN,1.1255,1.3459,0.60196
CG3246-RA,0.80617,0.75922,0.8422,NaN,0.98579,0.99588,0.89033,0.73855,1.0329,NaN,1.0596,0.911,NaN,1.1502,0.6861,0.71862
,1.8019,1.9302,1.3609,1.4716,1.4332,1.2978,1.3232,1.0881,NaN,NaN,1.0052,1.0505,NaN,1.1549,1.0545,0.97488
CG30491;CG30495,0.66238,0.80778,0.57729,1.6371,NaN,NaN,0.73435,0.40284,0.44713,NaN,NaN,0.95655,NaN,1.1575,1.2336,0.69034
,0.44366,0.51742,0.55871,NaN,0.61848,0.59338,1.3082,0.96754,0.88819,0.81067,0.77109,0.74488,NaN,1.1847,1.0583,0.93744
nrv2,NaN,NaN,NaN,NaN,1.6388,NaN,NaN,1.1953,NaN,1.1504,1.3725,NaN,0.94029,1.1925,NaN,1.1497
,NaN,0.76163,1.3677,NaN,0.44357,NaN,0.72151,0.98782,0.78487,0.89086,0.63979,NaN,NaN,1.208,0.7029,1.1173
Nckx30C,0.93123,1.3144,1.4481,NaN,1.1404,1.1139,1.2666,1.2015,1.2231,1.3021,1.2778,1.493,NaN,1.2234,1.2239,0.99289
,2.5449,1.9513,NaN,NaN,1.8055,1.9044,2.4556,1.4731,NaN,2.3453,NaN,1.7813,NaN,1.2286,1.2937,1.2568
,0.73733,0.75313,0.62017,NaN,0.66568,0.63794,NaN,1.0556,0.98983,1.1549,1.1166,NaN,NaN,1.2611,1.3862,0.81203
HP1b,1.0011,1.1308,1.3109,0.92575,1.0915,1.0699,1.4664,1.3837,2.021,1.5429,1.4521,1.4705,1.2729,1.2639,NaN,1.4075
Vps20,1.6968,1.8453,1.4723,NaN,1.2606,1.0983,1.4463,1.3179,1.6327,1.5691,1.4306,1.3304,NaN,1.264,1.3259,1.3496
,NaN,1.0772,0.92701,NaN,0.82477,NaN,1.1673,1.316,0.99849,1.0828,0.77523,0.89029,NaN,1.2677,0.96564,0.89749
qsm,1.3685,1.6101,NaN,1.4494,1.2059,1.5179,1.3626,1.9388,NaN,2.8905,NaN,1.9021,NaN,1.2891,1.4493,1.2228
Dg,0.58988,0.54785,1.7153,0.35209,0.51471,0.60903,1.0768,2.0242,2.0751,NaN,0.81594,0.95488,NaN,1.2938,NaN,1.1791
PDCD-5,0.69193,0.70619,0.65648,0.93077,0.65942,0.72357,1.1037,1.0191,NaN,1.1196,1.358,1.3372,NaN,1.2965,1.2512,1.1966
LSm-4-RB,0.83527,0.70085,0.61002,NaN,0.72138,0.94893,1.0679,1.4843,NaN,NaN,NaN,1.3551,NaN,1.3023,NaN,1.6272
bl,0.76789,0.63311,1.6521,NaN,0.95629,0.6317,1.1322,1.3278,1.2032,1.5815,NaN,NaN,NaN,1.3166,1.2238,1.3627
,1.8528,1.2347,2.0044,NaN,1.4364,1.5436,1.4704,1.2214,1.6116,1.15,1.3951,1.3448,NaN,1.3545,1.2928,1.1626
CREG,2.0181,1.3988,0.94645,1.0674,0.86265,0.80197,1.4035,2.7352,1.2467,1.0879,1.2425,1.4125,1.1528,1.3853,NaN,0.96401
BM-40-SPARC,NaN,NaN,0.63943,NaN,0.77655,0.84869,NaN,1.0914,1.3745,NaN,NaN,0.91035,NaN,1.3969,0.98804,1.1287
Ntf-2,3.1196,2.7329,1.9296,2.6667,2.1222,NaN,2.8723,NaN,2.9611,2.197,2.7044,2.8155,NaN,1.3982,2.6923,2.7978
CG18812-RA;CG18812,1.1882,NaN,NaN,3.6211,NaN,NaN,1.2303,NaN,0.87787,NaN,0.89363,1.075,1.1874,1.4278,NaN,1.1001
CG5706,0.34866,0.22327,0.34274,0.28858,0.28501,0.27208,0.4403,0.3667,1.0753,1.2635,0.50236,0.54494,NaN,1.441,0.29015,0.4014
Cpr30B,0.42492,0.40285,0.077295,0.081729,0.092688,0.089714,1.8144,1.7841,1.3616,1.2508,1.3564,1.7485,NaN,1.4482,1.9797,1.8734
NHP2,0.68012,0.73717,0.81913,0.63431,0.73193,0.76202,1.0071,1.097,2.3863,1.1563,1.8409,1.0996,NaN,1.455,0.91956,1.1201
,2.1392,2.1226,2.3278,2.0687,2.3805,1.5856,1.8427,NaN,1.4996,1.6238,1.6931,2.0619,NaN,1.5018,1.5183,1.442
CG33054-RB,1.99,1.6151,1.1694,1.5356,1.8433,1.8932,0.9583,1.3133,1.0659,0.85175,1.2413,0.85736,NaN,1.512,1.2975,1.154
,1.4664,1.4142,1.3647,NaN,1.3664,0.99668,2.3595,2.7049,1.9531,1.8385,0.95593,2.1579,NaN,1.5566,NaN,1.5342
Lsd-1,0.33032,0.57644,0.30504,0.2839,0.33294,0.32934,0.51302,0.58339,0.51058,0.58327,0.63558,0.62583,NaN,1.5637,1.0228,1.0098
bun,1.2002,NaN,NaN,0.91846,1.2396,1.0723,NaN,NaN,1.5606,1.6069,1.5813,1.5374,NaN,1.5858,NaN,1.6734
,0.65307,0.66564,0.62539,0.90909,0.94685,0.62624,1.3371,1.2643,0.92942,1.1749,1.2963,1.4618,NaN,1.6408,1.2091,1.4484
Fdxh,NaN,NaN,NaN,NaN,4.7294,NaN,2.6113,10.888,2.5507,2.6164,NaN,NaN,NaN,1.6472,3.5561,3.685
CG9917-RA,2.232,1.9553,1.5685,1.483,1.5553,1.4068,1.9213,2.594,1.9659,2.6025,1.9901,1.597,NaN,1.6503,1.7969,2.0599
Bet5,NaN,1.9876,NaN,NaN,NaN,NaN,1.4596,NaN,NaN,NaN,1.5532,1.4295,NaN,1.6704,1.3646,1.5764
Nup58,0.89837,0.91041,NaN,NaN,1.4565,1.2478,1.1456,NaN,NaN,NaN,NaN,NaN,NaN,1.6941,NaN,1.1904
Csp,1.9812,2.3089,3.1661,4.5126,3.3096,4.307,2.0558,2.2557,1.9386,2.3161,2.1278,2.9943,NaN,1.7505,1.5881,1.775
,NaN,2.388,2.6814,NaN,1.9463,2.0732,2.4629,2.4752,3.0027,2.3976,2.2892,2.0254,NaN,1.7873,1.9536,2.1612
,1.808,NaN,NaN,NaN,2.9575,3.0277,0.77155,0.67171,0.64796,0.73174,0.74237,0.73762,NaN,1.8386,0.76884,0.93842
,0.75363,0.57218,0.34006,0.72326,0.44329,0.64315,1.2626,1.4945,1.3877,1.6907,5.9812,1.5366,NaN,1.8949,1.1791,1.7147
Mmp1,0.39009,0.43722,0.47449,0.33809,0.36389,0.82308,NaN,NaN,NaN,NaN,NaN,1.4172,NaN,1.906,NaN,0.91769
mRpS22,0.58134,0.44402,0.58434,0.50449,0.67996,0.51719,0.70228,1.0676,1.0448,1.0995,1.1943,1.2307,NaN,1.9289,1.3205,1.7031
EG:132E8.3,2.0245,2.3559,NaN,NaN,1.7487,1.9098,1.2768,1.4297,1.3476,2.0026,1.4187,1.602,NaN,2.0358,NaN,1.7307
tsu,1.1645,1.1454,1.2,0.94847,1.0936,1.1946,1.9993,1.6621,2.003,1.6829,1.6146,1.7394,NaN,2.1093,1.5353,1.6212
LSm3,2.0469,1.7988,1.2117,1.094,1.6699,1.2333,2.504,2.1691,1.9041,1.839,2.5276,2.5098,NaN,2.1256,2.2701,2.4518
,1.3135,1.5449,1.1281,1.1964,1.0878,4.4374,0.59377,0.77358,0.92543,0.75222,0.48475,0.49674,NaN,2.2077,0.61532,0.55544
twr,1.0278,1.1999,1.4775,0.98255,1.3256,1.1866,1.8739,1.9582,1.7305,2.0452,1.9545,1.9576,1.8946,2.3164,NaN,1.9975
,0.66705,0.64446,0.59967,0.74618,0.58079,0.59484,1.2011,1.4681,1.3845,1.3364,1.1681,1.1144,NaN,2.3254,1.4477,1.9974
