Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
CkIalpha,NaN,0.53325,NaN,0.62845,0.43651,0.68477
Spt5,NaN,0.39533,NaN,NaN,NaN,NaN
ApepP,0.47216,0.36743,0.61384,0.47287,0.40721,0.39881
P5cr,0.50725,0.39702,0.34517,0.45506,0.53255,0.38222
CG18501,0.65801,0.57381,0.56953,0.66901,0.58662,0.58461
Naam,0.59812,0.69563,0.33805,0.50063,2.5089,0.58502
CG10915,1.0596,0.56979,0.58454,1.2786,0.49014,0.66483
Nup54,0.63886,0.6084,0.37576,0.64656,NaN,NaN
CG3800,0.43091,NaN,NaN,0.62123,NaN,0.62679
Pdp,NaN,NaN,0.66775,1.0083,0.56033,NaN
CG7441-RA,NaN,NaN,NaN,0.71393,0.57172,0.76898
Hml,0.37983,NaN,NaN,0.28975,NaN,0.47058
U2af50,0.7541,0.58457,0.56806,0.61649,0.53076,0.78519
amon,0.40445,0.56068,NaN,NaN,0.42644,NaN
Sec61alpha,NaN,NaN,NaN,0.44596,NaN,0.44966
Mulk,0.60614,0.40928,0.51411,0.53676,0.39411,0.50387
CHORD,0.87966,NaN,0.73392,NaN,NaN,0.72161
,NaN,0.49858,NaN,0.57126,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,0.6151,0.48146,0.65649,0.6839,0.49083,0.99359
torp4a,NaN,0.90461,NaN,NaN,0.70263,0.74418
rogdi,0.61046,NaN,0.64427,0.64236,0.56029,0.58253
CG12321-RA,0.89647,NaN,0.70549,0.47344,0.72396,0.63653
Drs;Drsl5,0.73728,NaN,0.48467,0.4082,NaN,0.67232
Psi,0.64794,NaN,0.53703,0.44566,0.63391,0.86826
Myo31DF,0.44332,0.26515,0.32053,0.35867,0.33199,0.77261
,0.68642,0.64222,NaN,0.57796,0.56497,0.40718
bel,0.49561,0.55371,0.75257,0.47533,0.4977,0.59677
,0.84224,0.86177,0.7299,NaN,1.0649,NaN
eas,0.56751,0.32157,0.46174,0.72882,0.41433,0.55556
SelR,0.64126,NaN,0.76942,0.66738,0.71829,0.67455
JhI-26,0.54258,NaN,0.54265,NaN,0.88706,1.2219
EG:100G10.7,0.75059,0.7934,0.75611,1.3434,0.73174,0.78807
Gtp-bp,0.86059,0.59142,0.6572,0.81967,0.67205,0.69094
,0.60014,0.70964,0.68914,0.87545,0.6909,0.73556
CG13601,NaN,0.84023,0.71084,0.76641,NaN,0.67104
Bap55,0.70187,NaN,0.7533,0.81393,0.66037,0.92789
wuho,0.44616,NaN,0.40491,NaN,NaN,NaN
bsk,0.76905,0.61463,1.9047,0.94594,0.73771,0.71436
Rap2l,0.88484,0.76859,0.74304,0.68753,NaN,NaN
CG10306,0.48246,0.92183,0.6916,1.0413,0.33321,0.31816
Aats-gln,0.29243,0.28335,0.44455,0.51156,0.50222,0.82106
Dsk,1.1297,NaN,0.97846,NaN,0.85677,NaN
,0.50819,NaN,NaN,0.64897,NaN,NaN
,0.41669,0.30045,NaN,0.63315,NaN,0.45543
Sodh-2,0.67609,0.64236,0.57077,0.71542,0.47283,0.56576
Pdcd4,0.54616,0.52939,0.51123,NaN,0.59581,0.69806
anon-35F/36A,NaN,NaN,0.91825,1.1273,0.87027,NaN
svr,0.84307,0.79224,0.92513,NaN,NaN,0.72774
CG16912,1.0047,NaN,0.6128,0.80619,NaN,NaN
Mtl,NaN,0.72641,NaN,0.94804,0.73322,0.84811
,0.93385,0.88948,0.91993,0.95941,1.0945,1.0801
Idgf1,1.0116,1.2515,1.0814,1.4344,0.94414,0.92203
twf,1.1554,0.65996,0.63922,0.61746,0.70936,0.51473
CkIIbeta,1.2206,0.96215,0.83182,1.1427,0.86196,0.83023
,0.83136,0.92813,1.9237,NaN,0.64847,0.89254
RanBP3,0.64536,NaN,0.64349,0.52547,NaN,0.8392
CadN,1.2923,1.0313,1.0772,0.92936,0.97731,1.0054
,NaN,NaN,0.29784,0.3414,NaN,NaN
,0.45976,0.29658,0.45131,0.48072,0.49769,0.69945
Ucp4A,0.58016,0.83563,NaN,NaN,0.75107,0.8011
Rpd3,0.73158,NaN,0.71487,0.90747,1.0792,NaN
UbcD4,0.63099,0.53263,0.50489,0.60389,0.62709,0.64904
CSN5,0.50693,0.51159,0.48207,0.6336,0.59602,0.39424
,0.70345,0.66614,0.58538,0.60084,0.61901,0.70188
Rab8,1.012,0.97132,0.97572,1.0154,0.85128,0.94758
Gs1l,1.1553,0.97769,0.93894,1.1416,1.0624,1.0875
RpL23,0.71933,0.68502,0.78457,0.5636,0.90605,0.54432
Irc,NaN,0.6238,NaN,NaN,NaN,NaN
,1.2511,1.6577,1.4099,1.7264,1.25,1.0965
Sac1,0.56654,0.36666,0.39336,0.41006,0.3438,0.28675
Paf-AHalpha,0.87027,NaN,0.97278,0.91599,0.92921,0.83431
,0.78291,0.78105,0.88283,0.70803,0.88942,0.55902
GstD2,NaN,NaN,NaN,NaN,NaN,NaN
Ppt1,1.0682,NaN,1.1521,NaN,NaN,NaN
Sgt1,0.74003,NaN,NaN,NaN,1.0148,0.80442
Arpc3A,0.92052,NaN,0.82979,0.95399,2.5871,0.90684
Cpr60D,1.6114,2.467,NaN,1.5407,1.2073,1.2038
parvin,1.0422,0.86744,NaN,0.87218,0.61017,0.7374
larp,0.71971,NaN,0.62628,1.6952,0.66886,0.68186
Irp-1A,NaN,0.29189,NaN,NaN,0.27749,0.25416
,1.0493,1.1021,1.011,NaN,NaN,1.1941
Hmu,1.1311,0.67788,1.0469,NaN,1.0765,1.1654
CG4603,0.59168,0.90211,0.61767,1.0082,NaN,NaN
,1.088,1.8184,0.88984,1.1468,NaN,0.8771
scramb2,NaN,0.88388,0.90686,0.85366,2.2492,NaN
Mgstl,1.289,1.0719,NaN,0.80466,0.97836,1.0482
CG2061,NaN,NaN,NaN,NaN,NaN,NaN
,0.81821,0.84127,0.72126,1.064,0.92535,0.76637
mRpS7,0.48948,0.70581,NaN,1.0366,0.52537,0.65056
inaF-B,1.546,1.0333,0.89398,NaN,0.86015,NaN
CG3246-RA,0.89033,0.73855,1.0329,NaN,1.0596,0.911
,1.3232,1.0881,NaN,NaN,1.0052,1.0505
CG30491;CG30495,0.73435,0.40284,0.44713,NaN,NaN,0.95655
,1.3082,0.96754,0.88819,0.81067,0.77109,0.74488
nrv2,NaN,1.1953,NaN,1.1504,1.3725,NaN
,0.72151,0.98782,0.78487,0.89086,0.63979,NaN
Nckx30C,1.2666,1.2015,1.2231,1.3021,1.2778,1.493
,2.4556,1.4731,NaN,2.3453,NaN,1.7813
,NaN,1.0556,0.98983,1.1549,1.1166,NaN
HP1b,1.4664,1.3837,2.021,1.5429,1.4521,1.4705
Vps20,1.4463,1.3179,1.6327,1.5691,1.4306,1.3304
,1.1673,1.316,0.99849,1.0828,0.77523,0.89029
qsm,1.3626,1.9388,NaN,2.8905,NaN,1.9021
Dg,1.0768,2.0242,2.0751,NaN,0.81594,0.95488
PDCD-5,1.1037,1.0191,NaN,1.1196,1.358,1.3372
LSm-4-RB,1.0679,1.4843,NaN,NaN,NaN,1.3551
bl,1.1322,1.3278,1.2032,1.5815,NaN,NaN
,1.4704,1.2214,1.6116,1.15,1.3951,1.3448
CREG,1.4035,2.7352,1.2467,1.0879,1.2425,1.4125
BM-40-SPARC,NaN,1.0914,1.3745,NaN,NaN,0.91035
Ntf-2,2.8723,NaN,2.9611,2.197,2.7044,2.8155
CG18812-RA;CG18812,1.2303,NaN,0.87787,NaN,0.89363,1.075
CG5706,0.4403,0.3667,1.0753,1.2635,0.50236,0.54494
Cpr30B,1.8144,1.7841,1.3616,1.2508,1.3564,1.7485
NHP2,1.0071,1.097,2.3863,1.1563,1.8409,1.0996
,1.8427,NaN,1.4996,1.6238,1.6931,2.0619
CG33054-RB,0.9583,1.3133,1.0659,0.85175,1.2413,0.85736
,2.3595,2.7049,1.9531,1.8385,0.95593,2.1579
Lsd-1,0.51302,0.58339,0.51058,0.58327,0.63558,0.62583
bun,NaN,NaN,1.5606,1.6069,1.5813,1.5374
,1.3371,1.2643,0.92942,1.1749,1.2963,1.4618
Fdxh,2.6113,10.888,2.5507,2.6164,NaN,NaN
CG9917-RA,1.9213,2.594,1.9659,2.6025,1.9901,1.597
Bet5,1.4596,NaN,NaN,NaN,1.5532,1.4295
Nup58,1.1456,NaN,NaN,NaN,NaN,NaN
Csp,2.0558,2.2557,1.9386,2.3161,2.1278,2.9943
,2.4629,2.4752,3.0027,2.3976,2.2892,2.0254
,0.77155,0.67171,0.64796,0.73174,0.74237,0.73762
,1.2626,1.4945,1.3877,1.6907,5.9812,1.5366
Mmp1,NaN,NaN,NaN,NaN,NaN,1.4172
mRpS22,0.70228,1.0676,1.0448,1.0995,1.1943,1.2307
EG:132E8.3,1.2768,1.4297,1.3476,2.0026,1.4187,1.602
tsu,1.9993,1.6621,2.003,1.6829,1.6146,1.7394
LSm3,2.504,2.1691,1.9041,1.839,2.5276,2.5098
,0.59377,0.77358,0.92543,0.75222,0.48475,0.49674
twr,1.8739,1.9582,1.7305,2.0452,1.9545,1.9576
,1.2011,1.4681,1.3845,1.3364,1.1681,1.1144
Tim8,2.2719,2.1923,NaN,1.7669,2.0213,2.2197
,NaN,1.8548,NaN,2.0175,2.3494,2.2773
CG34191,1.6951,1.7587,1.5319,1.4502,1.6082,1.6734
,1.1491,1.2111,1.1107,1.1569,1.5586,1.6329
GstE7,2.8483,2.8765,1.3011,NaN,2.2297,NaN
mRpS9,0.96741,0.72707,1.0228,1.0343,1.1244,1.0299
Tor,NaN,0.62376,0.67929,NaN,NaN,0.72694
mRpL40,1.6803,1.5817,1.7326,1.3716,1.7428,1.7536
,3.2805,2.2333,3.202,3.5018,2.8606,3.0969
,2.007,NaN,1.543,1.7077,2.1825,1.6548
CalpB,0.40614,1.2153,1.0172,1.2492,0.45252,0.83084
,4.873,5.39,4.5724,4.4534,5.5595,6.1522
Hsp67Bc,2.1346,2.7119,2.3837,3.7807,2.59,2.6401
Obp83b,2.8902,4.8728,4.9698,6.1942,2.1012,1.752
,1.2064,4.054,3.2691,1.7897,1.1139,0.92739
CG12896-RA,5.5782,6.069,5.7306,5.892,5.8466,4.9736
,9.3292,6.8754,3.3288,5.1488,5.885,4.6808
MESR6,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
skpB,NaN,0.26996,0.24429,NaN,NaN,0.31548
Cp36,0.11104,0.31623,NaN,NaN,NaN,NaN
,NaN,1.2356,NaN,NaN,NaN,NaN
Spn88Eb,NaN,NaN,NaN,NaN,NaN,NaN
smid,NaN,NaN,NaN,0.60435,0.27365,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.89159,1.0804,NaN,NaN
CG13759-RA,NaN,0.45203,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.78429,NaN
Nc73EF,0.2334,NaN,NaN,NaN,NaN,NaN
Nup93-1,NaN,0.60878,NaN,NaN,0.40002,0.51465
CG31534-RB,NaN,NaN,NaN,NaN,NaN,NaN
CG17544-RA,NaN,0.45514,NaN,NaN,NaN,NaN
Cyp6a17,0.7466,0.52182,0.9039,0.70742,NaN,0.69914
sec8,NaN,NaN,NaN,NaN,NaN,NaN
GluClalpha,0.52488,NaN,0.70077,NaN,0.58361,0.97527
Ppat-Dpck,NaN,0.70683,0.86775,NaN,NaN,NaN
CG1598,0.77909,0.45169,0.46561,0.42786,0.45318,0.67481
Pak3,NaN,NaN,NaN,NaN,NaN,NaN
ABCB7,0.49742,0.25389,0.51815,0.45084,0.4672,0.45086
O-fut1,NaN,NaN,NaN,NaN,NaN,0.59629
sec24,0.39252,0.34834,NaN,NaN,NaN,NaN
CanA-14F,0.33966,0.35687,0.67275,0.44919,NaN,0.76625
,0.60535,0.43361,0.38747,NaN,NaN,NaN
zetaCOP,NaN,NaN,NaN,NaN,NaN,NaN
Cg25C,0.39071,NaN,0.76098,0.52214,0.6533,0.71027
CG30185;Gr59f,NaN,NaN,NaN,NaN,NaN,NaN
RanGap,0.58699,0.55687,0.33859,0.39051,0.65873,0.75279
Ac76E,NaN,NaN,0.49949,NaN,NaN,NaN
TotM,NaN,NaN,NaN,NaN,NaN,NaN
CG11583,NaN,NaN,NaN,NaN,0.44929,0.47241
,NaN,NaN,NaN,NaN,NaN,NaN
Pi4KIIalpha,NaN,NaN,NaN,NaN,NaN,NaN
uif,2.8238,NaN,NaN,0.98461,1.0353,0.47497
CG6136,NaN,NaN,NaN,NaN,NaN,NaN
CG4538-RA,0.60097,0.41737,NaN,0.4188,0.67621,1.1637
CG42486-RA,0.65938,0.56151,NaN,0.71905,0.46846,0.61092
Jheh3,0.81406,NaN,0.72264,1.3111,0.5489,NaN
GS,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.71991,0.73266
RhoGAP100F,NaN,NaN,0.7671,0.88807,NaN,NaN
HtrA2,0.71562,0.77352,NaN,NaN,NaN,0.60996
,NaN,NaN,NaN,NaN,NaN,NaN
CG15187,0.83499,1.0714,NaN,NaN,1.2105,NaN
,0.64886,0.604,NaN,NaN,NaN,NaN
CG15617-RA,0.59932,NaN,0.58993,0.63673,1.3362,1.0377
Moca-cyp,NaN,NaN,NaN,NaN,NaN,NaN
Patronin;ssp4,NaN,NaN,NaN,1.1816,NaN,NaN
CG17837,NaN,NaN,0.83456,NaN,NaN,NaN
Ras64B,0.74996,0.86495,0.98709,0.79827,0.75006,NaN
AP-1mu,0.76346,NaN,0.8309,NaN,NaN,1.0095
,NaN,1.1284,1.7182,1.1309,1.008,0.81984
,0.93901,NaN,NaN,NaN,NaN,NaN
,1.03,NaN,1.0304,1.1547,0.97662,NaN
,NaN,0.69065,0.71027,NaN,0.92836,NaN
l(2)35Bg,0.63164,NaN,NaN,0.76544,0.48636,0.5003
usnp,1.0085,NaN,0.80874,NaN,NaN,0.84122
aru,NaN,NaN,NaN,NaN,NaN,NaN
Dcp1,NaN,NaN,0.66981,NaN,NaN,NaN
TwdlBeta,NaN,NaN,NaN,NaN,NaN,NaN
RIC-3,NaN,0.93975,NaN,1.1416,NaN,1.2779
sgl,0.49014,0.40253,NaN,0.57577,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Srp14,NaN,NaN,NaN,1.0919,NaN,NaN
Rox8,0.69464,NaN,7.071,0.64589,NaN,0.676
,NaN,NaN,1.9416,0.84824,NaN,NaN
slik,NaN,NaN,NaN,NaN,NaN,NaN
Gos28,NaN,NaN,NaN,NaN,NaN,NaN
PPP4R2r,1.0891,NaN,NaN,NaN,NaN,NaN
dally,NaN,1.0139,NaN,1.1407,NaN,0.90746
CG33506-RA,1.1319,1.4567,1.4318,NaN,1.4052,1.5822
nero,0.68676,NaN,NaN,NaN,NaN,NaN
nrm,1.6117,NaN,NaN,NaN,NaN,1.3981
,1.2234,NaN,NaN,NaN,1.2436,1.3008
Ccp84Ag,NaN,NaN,NaN,NaN,NaN,NaN
mRpL46,NaN,0.71818,0.97321,NaN,1.1959,1.1675
,1.4849,1.472,NaN,0.92797,1.1272,NaN
mRpL50,NaN,NaN,1.4274,NaN,NaN,NaN
,NaN,NaN,NaN,1.3096,NaN,NaN
Obp57a,NaN,NaN,NaN,NaN,NaN,NaN
mrj,NaN,NaN,1.2091,NaN,NaN,1.0505
CG5532,1.3901,1.3313,1.3384,1.3662,NaN,NaN
,0.9736,0.79368,1.3133,1.1998,NaN,1.1039
,1.4146,NaN,NaN,NaN,1.8422,NaN
,NaN,NaN,NaN,1.1741,1.0148,1.0298
atilla,1.937,NaN,2.0988,1.999,1.6831,1.4499
beat-VII,NaN,NaN,1.9304,1.6807,NaN,NaN
,NaN,NaN,1.1547,NaN,1.6492,0.90747
l(3)neo43,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
RpII215,0.64802,0.65051,NaN,1.5475,1.3234,0.72733
CG42487-RA,1.9159,NaN,NaN,1.0617,1.8542,1.6902
RpS29,0.57853,0.70018,0.97074,1.1398,0.62292,0.79915
Rsf1,NaN,NaN,NaN,NaN,NaN,NaN
Ect3,NaN,1.6497,NaN,NaN,2.1099,1.3557
,NaN,NaN,NaN,NaN,NaN,NaN
,1.5412,1.7723,NaN,NaN,1.9341,1.8484
RnpS1,NaN,2.0348,1.5937,NaN,NaN,NaN
mRpL28,NaN,2.0737,1.9637,2.1806,1.9411,1.957
CG10635,2.5187,NaN,NaN,2.1133,1.8389,2.2393
Sh,0.40391,NaN,0.41748,NaN,NaN,0.3736
,0.30321,NaN,NaN,0.33402,NaN,NaN
CG7280,NaN,NaN,0.85738,0.78102,NaN,NaN
Prosbeta1,0.82411,0.74704,NaN,0.99397,0.71942,0.70675
yrt,NaN,NaN,NaN,NaN,NaN,NaN
CG34242-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Nup75,NaN,NaN,NaN,NaN,NaN,NaN
spz,NaN,NaN,NaN,NaN,NaN,NaN
laccase2,NaN,NaN,NaN,NaN,NaN,NaN
CG17508-RA,NaN,NaN,NaN,1.0231,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG8245-RA,NaN,NaN,NaN,NaN,NaN,NaN
vlc,NaN,NaN,NaN,NaN,NaN,NaN
Hsepi,NaN,NaN,NaN,NaN,NaN,NaN
CG3270-RA,NaN,NaN,NaN,NaN,NaN,NaN
l(2)01289,NaN,NaN,NaN,NaN,NaN,NaN
Eb1,NaN,NaN,NaN,NaN,0.91572,0.82569
koi,NaN,0.64119,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG1383,NaN,NaN,NaN,NaN,NaN,NaN
cn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG8726-RB,NaN,NaN,NaN,NaN,NaN,NaN
Asap1,NaN,NaN,NaN,NaN,NaN,NaN
Mal-A6,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG8586-RA,NaN,NaN,NaN,0.44004,NaN,NaN
sec31,0.48736,0.43563,NaN,NaN,0.24368,0.65424
CG8243-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.34152,NaN,0.36087,NaN,NaN
Ance-4,NaN,NaN,0.89296,NaN,NaN,1.5116
Pmm45A,0.23843,0.21869,NaN,0.18326,NaN,NaN
Su(var)2-10,NaN,NaN,NaN,NaN,NaN,NaN
Hydr1,NaN,NaN,NaN,0.33077,NaN,NaN
alc,NaN,0.79032,0.5788,0.77556,NaN,0.62753
Rme-8,0.42497,0.49349,0.63629,0.42424,NaN,0.3664
,NaN,NaN,NaN,NaN,NaN,NaN
Pkn,0.16162,0.27138,0.28096,NaN,NaN,NaN
GstT2,NaN,NaN,NaN,0.98543,NaN,NaN
,1.4866,0.64044,0.81622,0.726,0.50825,0.57534
,NaN,NaN,NaN,NaN,NaN,NaN
Ccs,NaN,NaN,NaN,NaN,NaN,NaN
CAP,NaN,NaN,0.26658,NaN,NaN,NaN
CG12895,NaN,NaN,NaN,NaN,NaN,NaN
nclb,NaN,NaN,NaN,NaN,NaN,NaN
CG18004-RB;CG18004-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.8509,0.9928,NaN,NaN,NaN
rho-7,0.81572,0.79986,0.79199,NaN,NaN,NaN
Mppe,NaN,NaN,NaN,NaN,NaN,NaN
Prp8,0.50722,0.57807,0.47889,0.75494,NaN,NaN
RpS11,0.55336,NaN,NaN,NaN,NaN,NaN
garz,NaN,NaN,NaN,NaN,NaN,NaN
Cpr49Ag,NaN,NaN,NaN,1.7924,NaN,NaN
Dyb,NaN,NaN,NaN,NaN,NaN,NaN
CG8545-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG4646,NaN,NaN,1.586,NaN,NaN,2.0271
CG4679,0.3718,0.77736,0.40919,0.36472,0.47163,0.49506
CG10799-RA,NaN,NaN,NaN,NaN,NaN,NaN
mip120,NaN,NaN,NaN,0.73118,0.54992,2.3382
mRpL53,NaN,NaN,2.0664,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Prosap,NaN,NaN,NaN,NaN,NaN,NaN
cg,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.GH03482;CG10249-RD,NaN,NaN,NaN,NaN,NaN,NaN
Khc-73,NaN,NaN,NaN,NaN,NaN,NaN
eIF2B-gamma,NaN,0.2661,NaN,NaN,NaN,NaN
CG8192-RA,NaN,NaN,NaN,NaN,NaN,NaN
,2.0699,NaN,NaN,NaN,NaN,NaN
Jhedup,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.6022,NaN,0.49536,NaN,NaN
clu,0.27995,0.1478,NaN,0.36078,NaN,0.25614
Sema-2b,0.8431,NaN,NaN,NaN,NaN,NaN
Syn2,NaN,NaN,NaN,NaN,NaN,0.3366
CG8303,NaN,NaN,NaN,NaN,NaN,NaN
Ehbp1,1.0471,0.7418,NaN,0.70114,NaN,NaN
RhoGEF2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
l(2)k01209,NaN,NaN,NaN,NaN,NaN,NaN
CG4853-RA,NaN,NaN,NaN,NaN,NaN,NaN
Dcr-2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG4975-RB;CG4984-RC,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.1236,0.16407
,NaN,NaN,NaN,NaN,NaN,NaN
Muc55B,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
GstE8,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mRpS28,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG15099,NaN,NaN,NaN,NaN,NaN,NaN
CG15111-RB,NaN,NaN,NaN,NaN,NaN,NaN
hppy,NaN,NaN,NaN,NaN,NaN,NaN
par-1,NaN,NaN,NaN,NaN,NaN,NaN
par-1,NaN,NaN,NaN,0.77422,NaN,NaN
par-1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG17041,NaN,NaN,1.2705,NaN,NaN,NaN
CG4495,NaN,NaN,NaN,NaN,NaN,NaN
Galpha49B;Galphaq,NaN,NaN,NaN,NaN,NaN,NaN
Slob,NaN,NaN,NaN,NaN,NaN,NaN
CG6043-RH,NaN,NaN,NaN,0.60789,NaN,NaN
Syx5,2.3,2.3689,2.87,2.2741,NaN,2.0353
,NaN,NaN,NaN,0.45015,NaN,NaN
orb2,NaN,NaN,NaN,NaN,NaN,NaN
bol,NaN,NaN,NaN,NaN,NaN,NaN
Trl,NaN,NaN,NaN,NaN,NaN,NaN
Ama,NaN,NaN,NaN,NaN,NaN,NaN
Timp,NaN,NaN,NaN,NaN,NaN,NaN
CtBP,NaN,NaN,NaN,NaN,NaN,NaN
Syp,NaN,NaN,NaN,NaN,NaN,NaN
Rb97D,NaN,0.83474,NaN,NaN,NaN,NaN
Hrb98DE,NaN,NaN,NaN,NaN,NaN,NaN
CG7816,NaN,NaN,NaN,NaN,NaN,NaN
CG3774;Efr,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Klp10A,NaN,NaN,NaN,NaN,NaN,NaN
ari-1,NaN,NaN,NaN,NaN,NaN,NaN
car,NaN,NaN,NaN,NaN,NaN,NaN
CG10187,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Not1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG5544,NaN,NaN,0.52373,NaN,NaN,NaN
,NaN,NaN,NaN,0.74888,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Vrp1,NaN,1.2613,NaN,NaN,NaN,NaN
Cda5,NaN,NaN,NaN,NaN,NaN,NaN
CG7337-RB;CG7337-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG34310-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Lar,NaN,NaN,NaN,NaN,NaN,NaN
RtGEF,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG34039-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
enc,NaN,NaN,NaN,NaN,NaN,NaN
Cip4,NaN,0.32313,NaN,NaN,NaN,NaN
sif,NaN,NaN,NaN,NaN,NaN,NaN
Ect4,NaN,NaN,NaN,NaN,NaN,NaN
GAPcenA,NaN,NaN,NaN,NaN,NaN,NaN
Argk,NaN,NaN,NaN,NaN,NaN,NaN
