Gene names, Alpha A53T_day_30, Control _day_30
,0.531839063,0.533060469
nrv2,#DIV/0!,#DIV/0!
,1.159363438,1.168833281
Nckx30C,1.336283281,1.341365859
,#DIV/0!,#DIV/0!
,0.663159375,0.661205313
HP1b,1.100321094,1.101139453
Vps20,1.574995313,1.570327344
,0.978637813,0.976291094
qsm,1.463115625,1.462492188
Dg,0.873909688,0.881172656
PDCD-5,0.761118281,0.762595859
LSm-4-RB,0.66434625,0.661876875
bl,1.3249875,1.33985625
,1.846051563,1.853249219
CREG,1.248074219,1.237112891
BM-40-SPARC,#DIV/0!,#DIV/0!
Ntf-2,2.514059375,2.504245313
CG18812-RA;CG18812,2.784790625,2.822804688
CG5706,0.305452344,0.305916328
Cpr30B,0.194452719,0.189228141
NHP2,0.720506719,0.720789141
,2.175098438,2.176150781
CG33054-RB,1.507204688,1.500172656
,1.3906875,1.38950625
Lsd-1,0.349095313,0.346612344
bun,1.015308125,1.010905938
,0.730154531,0.731840234
Fdxh,#DIV/0!,#DIV/0!
CG9917-RA,1.720965625,1.712092188
Bet5,#DIV/0!,#DIV/0!
Nup58,#DIV/0!,#DIV/0!
Csp,3.256934375,3.283407813
,2.58054375,2.585128125
,#DIV/0!,#DIV/0!
,0.576775469,0.574724766
Mmp1,0.408821719,0.408706641
mRpS22,0.533506094,0.534001953
EG:132E8.3,#DIV/0!,#DIV/0!
tsu,1.101980781,1.100719609
LSm3,1.4175375,1.40550625
,1.254014063,1.249842969
twr,1.190089844,1.191905078
,0.667022813,0.667291094
Tim8,#DIV/0!,#DIV/0!
,2.43273125,2.430634375
CG34191,1.2155625,1.21529375
,0.538664688,0.535800156
GstE7,5.235571875,5.201614063
mRpS9,0.392570625,0.391247188
Tor,1.115423438,1.112213281
mRpL40,0.517028438,0.512593281
,1.915489063,1.906830469
,1.661290625,1.637779688
CalpB,0.599686094,0.597169453
,4.215264063,4.205692969
Hsp67Bc,0.481867188,0.481896406
Obp83b,#DIV/0!,#DIV/0!
,4.2968,4.2718
CG12896-RA,3.5914125,3.58136875
,6.809464063,6.865967969
MESR6,3.002038125,3.067240938
,#DIV/0!,#DIV/0!
skpB,#DIV/0!,#DIV/0!
Cp36,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Spn88Eb,#DIV/0!,#DIV/0!
smid,0.503624375,0.508167813
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG13759-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.200304375,0.199602813
Nc73EF,0.431871875,0.432684063
Nup93-1,0.378113125,0.379978438
CG31534-RB,#DIV/0!,#DIV/0!
CG17544-RA,0.369241094,0.365746953
Cyp6a17,0.397760313,0.392114844
sec8,#DIV/0!,#DIV/0!
GluClalpha,0.313719375,0.314580313
Ppat-Dpck,0.571011875,0.556374063
CG1598,0.492641563,0.494594219
Pak3,#DIV/0!,#DIV/0!
ABCB7,#DIV/0!,#DIV/0!
O-fut1,#DIV/0!,#DIV/0!
sec24,0.351390781,0.344739609
CanA-14F,0.553605625,0.557497188
,#DIV/0!,#DIV/0!
zetaCOP,#DIV/0!,#DIV/0!
Cg25C,0.544165938,0.543372031
CG30185;Gr59f,#DIV/0!,#DIV/0!
RanGap,0.474263438,0.476013281
Ac76E,#DIV/0!,#DIV/0!
TotM,#DIV/0!,#DIV/0!
CG11583,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pi4KIIalpha,#DIV/0!,#DIV/0!
uif,0.237999375,0.238555313
CG6136,#DIV/0!,#DIV/0!
CG4538-RA,0.376877969,0.376683516
CG42486-RA,#DIV/0!,#DIV/0!
Jheh3,#DIV/0!,#DIV/0!
GS,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RhoGAP100F,0.539441406,0.544256797
HtrA2,1.2080675,1.21554625
,#DIV/0!,#DIV/0!
CG15187,0.798622031,0.808516484
,#DIV/0!,#DIV/0!
CG15617-RA,#DIV/0!,#DIV/0!
Moca-cyp,0.535864063,0.537007969
Patronin;ssp4,1.04024875,1.027885625
CG17837,#DIV/0!,#DIV/0!
Ras64B,0.506507031,0.507446484
AP-1mu,0.563471719,0.562376641
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,1.073754063,1.074287969
,#DIV/0!,#DIV/0!
l(2)35Bg,#DIV/0!,#DIV/0!
usnp,0.810606875,0.812901563
aru,#DIV/0!,#DIV/0!
Dcp1,0.500319063,0.503620469
TwdlBeta,#DIV/0!,#DIV/0!
RIC-3,0.830232969,0.829391016
sgl,0.726897344,0.736291328
,#DIV/0!,#DIV/0!
Srp14,0.705376094,0.704639453
Rox8,0.615723594,0.618788203
,#DIV/0!,#DIV/0!
slik,0.364544594,0.368286203
Gos28,#DIV/0!,#DIV/0!
PPP4R2r,0.690732188,0.690068906
dally,#DIV/0!,#DIV/0!
CG33506-RA,0.906978438,0.905753281
nero,#DIV/0!,#DIV/0!
nrm,#DIV/0!,#DIV/0!
,1.286098125,1.300770938
Ccp84Ag,#DIV/0!,#DIV/0!
mRpL46,0.599349063,0.603665469
,0.944364219,0.937785391
mRpL50,0.751149688,0.751130156
,0.726873281,0.727450859
Obp57a,#DIV/0!,#DIV/0!
mrj,#DIV/0!,#DIV/0!
CG5532,1.727720313,1.731514844
,0.7492,0.751405
,1.499825,1.5016875
,#DIV/0!,#DIV/0!
atilla,#DIV/0!,#DIV/0!
beat-VII,#DIV/0!,#DIV/0!
,0.858437344,0.853276328
l(3)neo43,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RpII215,1.50223625,1.490031875
CG42487-RA,#DIV/0!,#DIV/0!
RpS29,1.063453125,1.067683438
Rsf1,#DIV/0!,#DIV/0!
Ect3,0.606774688,0.604517656
,#DIV/0!,#DIV/0!
,1.122014063,1.125565469
RnpS1,0.963178125,0.966890938
mRpL28,0.676978594,0.666725703
CG10635,0.8754225,0.87456125
Sh,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG7280,#DIV/0!,#DIV/0!
Prosbeta1,0.544822344,0.542141328
yrt,#DIV/0!,#DIV/0!
CG34242-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Nup75,#DIV/0!,#DIV/0!
spz,#DIV/0!,#DIV/0!
laccase2,#DIV/0!,#DIV/0!
CG17508-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG8245-RA,#DIV/0!,#DIV/0!
vlc,#DIV/0!,#DIV/0!
Hsepi,#DIV/0!,#DIV/0!
CG3270-RA,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!
Eb1,#DIV/0!,#DIV/0!
koi,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG1383,#DIV/0!,#DIV/0!
cn,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG8726-RB,#DIV/0!,#DIV/0!
Asap1,#DIV/0!,#DIV/0!
Mal-A6,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG8586-RA,#DIV/0!,#DIV/0!
sec31,0.332726563,0.335011719
CG8243-RA,#DIV/0!,#DIV/0!
,0.258701094,0.255826953
Ance-4,0.449682813,0.454391094
Pmm45A,0.330733906,0.331453047
Su(var)2-10,#DIV/0!,#DIV/0!
Hydr1,#DIV/0!,#DIV/0!
alc,#DIV/0!,#DIV/0!
Rme-8,0.25911875,0.258170625
,#DIV/0!,#DIV/0!
Pkn,0.319039688,0.320790156
GstT2,#DIV/0!,#DIV/0!
,0.889462969,0.883633516
,#DIV/0!,#DIV/0!
Ccs,#DIV/0!,#DIV/0!
CAP,#DIV/0!,#DIV/0!
CG12895,#DIV/0!,#DIV/0!
nclb,#DIV/0!,#DIV/0!
CG18004-RB;CG18004-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,0.283473125,0.283023438
rho-7,0.736635938,0.738247031
Mppe,#DIV/0!,#DIV/0!
Prp8,0.339509531,0.337065234
RpS11,0.180228125,0.179520938
garz,1.451438906,1.465478047
Cpr49Ag,#DIV/0!,#DIV/0!
Dyb,#DIV/0!,#DIV/0!
CG8545-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG4646,1.46865,1.456225
CG4679,0.290075625,0.290339688
CG10799-RA,#DIV/0!,#DIV/0!
mip120,#DIV/0!,#DIV/0!
mRpL53,1.719352969,1.716643516
,#DIV/0!,#DIV/0!
Prosap,#DIV/0!,#DIV/0!
cg,#DIV/0!,#DIV/0!
BcDNA.GH03482;CG10249-RD,#DIV/0!,#DIV/0!
Khc-73,#DIV/0!,#DIV/0!
eIF2B-gamma,0.355814375,0.351072813
CG8192-RA,0.567212031,0.566818984
,1.108341563,1.099109219
Jhedup,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
clu,0.226060156,0.228214922
Sema-2b,#DIV/0!,#DIV/0!
Syn2,0.411689375,0.414950313
CG8303,#DIV/0!,#DIV/0!
Ehbp1,0.936085313,0.942572344
RhoGEF2,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
l(2)k01209,#DIV/0!,#DIV/0!
CG4853-RA,#DIV/0!,#DIV/0!
Dcr-2,0.472400313,0.461179844
,#DIV/0!,#DIV/0!
CG4975-RB;CG4984-RC,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Muc55B,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
GstE8,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mRpS28,#DIV/0!,#DIV/0!
,0.819802188,0.824388906
CG15099,#DIV/0!,#DIV/0!
CG15111-RB,#DIV/0!,#DIV/0!
hppy,#DIV/0!,#DIV/0!
par-1,#DIV/0!,#DIV/0!
par-1,0.587213125,0.585693438
par-1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG17041,#DIV/0!,#DIV/0!
CG4495,#DIV/0!,#DIV/0!
Galpha49B;Galphaq,#DIV/0!,#DIV/0!
Slob,#DIV/0!,#DIV/0!
CG6043-RH,0.280593906,0.278175547
Syx5,1.5705,1.568975
,#DIV/0!,#DIV/0!
orb2,0.252759844,0.253885078
bol,#DIV/0!,#DIV/0!
Trl,#DIV/0!,#DIV/0!
Ama,#DIV/0!,#DIV/0!
Timp,#DIV/0!,#DIV/0!
CtBP,#DIV/0!,#DIV/0!
Syp,#DIV/0!,#DIV/0!
Rb97D,#DIV/0!,#DIV/0!
Hrb98DE,#DIV/0!,#DIV/0!
CG7816,#DIV/0!,#DIV/0!
CG3774;Efr,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Klp10A,#DIV/0!,#DIV/0!
ari-1,#DIV/0!,#DIV/0!
car,#DIV/0!,#DIV/0!
CG10187,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Not1,0.444180625,0.438644688
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG5544,0.76858,0.777695
,2.469200625,2.516859688
,#DIV/0!,#DIV/0!
Vrp1,#DIV/0!,#DIV/0!
Cda5,#DIV/0!,#DIV/0!
CG7337-RB;CG7337-RA,0.346701875,0.345959063
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG34310-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Lar,#DIV/0!,#DIV/0!
RtGEF,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG34039-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
enc,#DIV/0!,#DIV/0!
Cip4,0.334192188,0.332888906
sif,#DIV/0!,#DIV/0!
Ect4,#DIV/0!,#DIV/0!
GAPcenA,#DIV/0!,#DIV/0!
Argk,#DIV/0!,#DIV/0!
,0.77507375,0.773693125
,#DIV/0!,#DIV/0!
CG12355-RA,#DIV/0!,#DIV/0!
l(3)72Do,#DIV/0!,#DIV/0!
Abl,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Shal,#DIV/0!,#DIV/0!
Ten-m,#DIV/0!,#DIV/0!
ArfGAP3,0.494374844,0.493915078
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
pyd,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Dh44,#DIV/0!,#DIV/0!
Pnn,#DIV/0!,#DIV/0!
cu,#DIV/0!,#DIV/0!
NijC,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
btsz,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Efa6,#DIV/0!,#DIV/0!
Pli,#DIV/0!,#DIV/0!
CG6422-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CHKov1,#DIV/0!,#DIV/0!
LpR1,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
sda,#DIV/0!,#DIV/0!
woc,0.523545,0.5278725
Hayan,#DIV/0!,#DIV/0!
Sec16,#DIV/0!,#DIV/0!
Rnp4F,0.541302813,0.538993594
CG14445-RB,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Nup153,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG40498-RF,1.510470625,1.523494688
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Gfat1,0.259779844,0.260852578
how,#DIV/0!,#DIV/0!
Sfp87B,#DIV/0!,#DIV/0!
CG9801;CG9801-RA,#DIV/0!,#DIV/0!
CG8909-RB,#DIV/0!,#DIV/0!
metro,#DIV/0!,#DIV/0!
mbl,#DIV/0!,#DIV/0!
Jabba,0.6164125,0.62107375
tn,0.205491406,0.206734297
CG30387,#DIV/0!,#DIV/0!
Sdc,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!
CG9865-RA,#DIV/0!,#DIV/0!
St3,#DIV/0!,#DIV/0!
Nurf-38,#DIV/0!,#DIV/0!
Fis1,#DIV/0!,#DIV/0!
CG8740-RB,#DIV/0!,#DIV/0!
CG31869-RB,#DIV/0!,#DIV/0!
Su(dx),#DIV/0!,#DIV/0!
CG42371-RA,#DIV/0!,#DIV/0!
Rrp1,0.815949063,0.829760469
kis,0.521187813,0.520686094
drongo,#DIV/0!,#DIV/0!
pgant4,#DIV/0!,#DIV/0!
fred,#DIV/0!,#DIV/0!
PDZ-GEF,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
RhoGAP71E,#DIV/0!,#DIV/0!
Nedd4,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
mus312-RD,1.2298375,1.22648125
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
nudE,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
cher,#DIV/0!,#DIV/0!
CG6364,#DIV/0!,#DIV/0!
Lerp,#DIV/0!,#DIV/0!
spg,#DIV/0!,#DIV/0!
mtd,#DIV/0!,#DIV/0!
MTA1-like,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Pak,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
rg,0.504284219,0.502367891
CG42323-RC,#DIV/0!,#DIV/0!
tlk,#DIV/0!,#DIV/0!
CG4928,#DIV/0!,#DIV/0!
nemy,#DIV/0!,#DIV/0!
Sclp,0.298496406,0.297846797
Sfp96F,#DIV/0!,#DIV/0!
Evi5;CG11727,#DIV/0!,#DIV/0!
Eph,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!
CaMKII,#DIV/0!,#DIV/0!
ssh,#DIV/0!,#DIV/0!
stau,#DIV/0!,#DIV/0!
lolal,0.695229688,0.692130156
,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Tim10-RA,#DIV/0!,#DIV/0!
G-salpha60A;Galphas,#DIV/0!,#DIV/0!
l(2)01289,#DIV/0!,#DIV/0!
CSN4,#DIV/0!,#DIV/0!
Mlf,#DIV/0!,#DIV/0!
Kr-h2,#DIV/0!,#DIV/0!
Piezo,0.680262031,0.678186484
GlcAT-S,#DIV/0!,#DIV/0!
yuri,#DIV/0!,#DIV/0!
Dif,#DIV/0!,#DIV/0!
CG14397-RA,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG2131,#DIV/0!,#DIV/0!
galectin,#DIV/0!,#DIV/0!
E(bx),0.693911563,0.686164219
CG7611,#DIV/0!,#DIV/0!
Pop2,#DIV/0!,#DIV/0!
pHCl,#DIV/0!,#DIV/0!
Dscam2,0.641763125,0.641023438
Snmp2,#DIV/0!,#DIV/0!
syd,0.408332656,0.408761172
Zasp66,#DIV/0!,#DIV/0!
CG5021,#DIV/0!,#DIV/0!
TfIIEbeta,#DIV/0!,#DIV/0!
mp,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Octbeta2R,#DIV/0!,#DIV/0!
Su(var)3-7,#DIV/0!,#DIV/0!
mRpS10,0.448275625,0.447387188
msps,1.904784219,1.870680391
Pxd,#DIV/0!,#DIV/0!
osa,#DIV/0!,#DIV/0!
CG7956-RA,3.172975,3.2062125
Irk2,#DIV/0!,#DIV/0!
nct,#DIV/0!,#DIV/0!
CG4673;Npl4,0.646348438,0.654758281
tmod,#DIV/0!,#DIV/0!
CG31004;mesh,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
CG1307,#DIV/0!,#DIV/0!
PsGEF,#DIV/0!,#DIV/0!
tyf,#DIV/0!,#DIV/0!
rb,0.41440375,0.420613125
Cp38,#DIV/0!,#DIV/0!
fs(1)h,0.44164875,0.445480625
Imp,#DIV/0!,#DIV/0!
gfA,#DIV/0!,#DIV/0!
CG17065,#DIV/0!,#DIV/0!
GstT3,#DIV/0!,#DIV/0!
Tango11,#DIV/0!,#DIV/0!
milt,#DIV/0!,#DIV/0!
tho2,#DIV/0!,#DIV/0!
CG43427,#DIV/0!,#DIV/0!
CG1129,0.610384688,0.615337656
CG2982,#DIV/0!,#DIV/0!
,#DIV/0!,#DIV/0!
Cbp80,#DIV/0!,#DIV/0!
Ice,#DIV/0!,#DIV/0!
Aats-phe,#DIV/0!,#DIV/0!
Peritrophin-A,0.874585313,0.871387344
Fs(2)Ket,0.201280938,0.200599531
pn,#DIV/0!,#DIV/0!
Surf4,#DIV/0!,#DIV/0!
SNF1A,0.512767813,0.515321094
wbl,0.456160781,0.458442109
qkr58E-3,#DIV/0!,#DIV/0!
Cbl,#DIV/0!,#DIV/0!
msta,#DIV/0!,#DIV/0!
EG:39E1.2,#DIV/0!,#DIV/0!
Pgam5,#DIV/0!,#DIV/0!
Ocrl,#DIV/0!,#DIV/0!
fs(1)N,#DIV/0!,#DIV/0!
noi,0.254802344,0.254716328
Acp53Ea,#DIV/0!,#DIV/0!
Acp62F,#DIV/0!,#DIV/0!
crol,#DIV/0!,#DIV/0!
Mkk4,#DIV/0!,#DIV/0!
Flo,#DIV/0!,#DIV/0!
Flo-2,#DIV/0!,#DIV/0!
Fim,#DIV/0!,#DIV/0!
lic,#DIV/0!,#DIV/0!
dco,#DIV/0!,#DIV/0!
Kap-alpha1,#DIV/0!,#DIV/0!
BCL7-like,#DIV/0!,#DIV/0!
eIF2B-beta,#DIV/0!,#DIV/0!
EG:125H10.1,0.371406094,0.366199453
ssx,#DIV/0!,#DIV/0!
CG11448,0.786669219,0.776157891
anon-3B1.2,0.176562234,0.177879633
arg,#DIV/0!,#DIV/0!
pck,#DIV/0!,#DIV/0!
Pp4-19C,#DIV/0!,#DIV/0!
CG4045,#DIV/0!,#DIV/0!
Sec22,0.848423438,0.847613281
Ate1,#DIV/0!,#DIV/0!
EG:131F2.3,#DIV/0!,#DIV/0!
CG1315,#DIV/0!,#DIV/0!
par-6,#DIV/0!,#DIV/0!
RpII33,#DIV/0!,#DIV/0!
l(1)10Bb,#DIV/0!,#DIV/0!
Src64B,#DIV/0!,#DIV/0!
Sgs3,0.081135672,0.082450414
Sgs7,0.21300775,0.216367625
nAcRbeta-64B,#DIV/0!,#DIV/0!
Rh3,#DIV/0!,#DIV/0!
Adf1,#DIV/0!,#DIV/0!
,0.110187344,0.110958078
,0.051125594,0.050537453
,#DIV/0!,#DIV/0!
Hsp67Ba,#DIV/0!,#DIV/0!
r,0.289511563,0.289919219
alphaTub85E,0.33958375,0.337048125
Tm1,#DIV/0!,#DIV/0!
Tm1,#DIV/0!,#DIV/0!
Cp19,#DIV/0!,#DIV/0!
LvpH,#DIV/0!,#DIV/0!
Sgs5,#DIV/0!,#DIV/0!
Ald,#DIV/0!,#DIV/0!
RpII140,0.733670156,0.738667422
ry,#DIV/0!,#DIV/0!
Fmrf,#DIV/0!,#DIV/0!
Fas1,#DIV/0!,#DIV/0!
tko,#DIV/0!,#DIV/0!
Hsc70-2,#DIV/0!,#DIV/0!
phl,#DIV/0!,#DIV/0!
Aprt,#DIV/0!,#DIV/0!
Pp1-87B;Pp1-13C,0.63344875,0.639990625
RpS26,#DIV/0!,#DIV/0!
norpA,#DIV/0!,#DIV/0!
Atpalpha,#DIV/0!,#DIV/0!
Appl,#DIV/0!,#DIV/0!
Fas3,#DIV/0!,#DIV/0!
gro,#DIV/0!,#DIV/0!
numb,#DIV/0!,#DIV/0!
BicD,0.53013875,0.536895625
Pka-C3,#DIV/0!,#DIV/0!
ttk,#DIV/0!,#DIV/0!
crn,#DIV/0!,#DIV/0!
mus209,#DIV/0!,#DIV/0!
Fps85D,#DIV/0!,#DIV/0!
01-Dec,#DIV/0!,#DIV/0!
Gld,0.484214219,0.485277891
sgg,#DIV/0!,#DIV/0!
anon-37Cs,#DIV/0!,#DIV/0!
arm,0.830932813,0.831298594
mt:ND1,#DIV/0!,#DIV/0!
mt:ND3,#DIV/0!,#DIV/0!
mt:ND4,#DIV/0!,#DIV/0!
Sxl,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!
up,#DIV/0!,#DIV/0!
Pepck,0.273755469,0.273184766
v,#DIV/0!,#DIV/0!
G-ialpha65A,#DIV/0!,#DIV/0!
Anp,#DIV/0!,#DIV/0!
AnnIX,#DIV/0!,#DIV/0!
AnnX,#DIV/0!,#DIV/0!
Ca-P60A,#DIV/0!,#DIV/0!
bam,#DIV/0!,#DIV/0!
Cp16,#DIV/0!,#DIV/0!
gammaTub23C,#DIV/0!,#DIV/0!
mts,#DIV/0!,#DIV/0!
Rdl,#DIV/0!,#DIV/0!
UbcD6,#DIV/0!,#DIV/0!
Arf72A,#DIV/0!,#DIV/0!
pum,#DIV/0!,#DIV/0!
tud,1.184492813,1.208288594
eff,0.50638875,0.505958125
su(f),#DIV/0!,#DIV/0!
Fur1,#DIV/0!,#DIV/0!
TfIIB,#DIV/0!,#DIV/0!
csw,0.39493125,0.389844375
Itp-r83A,#DIV/0!,#DIV/0!
Top1,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!
dlg1,#DIV/0!,#DIV/0!
Gprk2,#DIV/0!,#DIV/0!
Gnf1,#DIV/0!,#DIV/0!
Ptp99A,#DIV/0!,#DIV/0!
